seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
80,0.5,80,0.33,1.5,1,-0.8553366246050055,0.74,-0.8240938327265499,0.756
80,0.5798319327731092,80,0.33,1.5,1,-0.8579069382110069,0.71,-0.8233126466756019,0.736
80,0.6596638655462185,80,0.33,1.5,1,-0.8593370494280674,0.7,-0.8228176230388615,0.716
80,0.7394957983193278,80,0.33,1.5,1,-0.8602902274764712,0.67,-0.8224654993313546,0.684
80,0.819327731092437,80,0.33,1.5,1,-0.8610203290635928,0.66,-0.8222992212304792,0.656
80,0.8991596638655461,80,0.33,1.5,1,-0.8618795454613022,0.62,-0.8220886809205634,0.636
80,0.9789915966386554,80,0.33,1.5,1,-0.8625496274918477,0.6,-0.8219022358317406,0.612
80,1.0588235294117647,80,0.33,1.5,1,-0.8635611236299926,0.58,-0.8218385573545368,0.588
80,1.138655462184874,80,0.33,1.5,1,-0.8646265493069759,0.55,-0.8218227720931481,0.56
80,1.218487394957983,80,0.33,1.5,1,-0.8656387604402073,0.53,-0.8216306254950374,0.548
80,1.2983193277310923,80,0.33,1.5,1,-0.8665569402350117,0.52,-0.8219001774360293,0.524
80,1.3781512605042017,80,0.33,1.5,1,-0.8671838170932367,0.51,-0.8222390648250762,0.496
80,1.4579831932773109,80,0.33,1.5,1,-0.867313048511722,0.5,-0.8218016298176194,0.476
80,1.53781512605042,80,0.33,1.5,1,-0.8670655608194495,0.48,-0.8211287808566922,0.464
80,1.6176470588235294,80,0.33,1.5,1,-0.8665879699956327,0.44,-0.8205395809467766,0.444
80,1.6974789915966386,80,0.33,1.5,1,-0.8653061919511299,0.41,-0.8198369604709604,0.436
80,1.7773109243697478,80,0.33,1.5,1,-0.8638566672637903,0.41,-0.8192954595231786,0.408
80,1.857142857142857,80,0.33,1.5,1,-0.8625879979288068,0.38,-0.81864393110628,0.384
80,1.9369747899159662,80,0.33,1.5,1,-0.8616268018432953,0.36,-0.8179842865456427,0.36
80,2.0168067226890756,80,0.33,1.5,1,-0.8605913098445501,0.35,-0.81745731049209,0.344
80,2.0966386554621845,80,0.33,1.5,1,-0.8595351598911816,0.32,-0.8169232213533094,0.332
80,2.176470588235294,80,0.33,1.5,1,-0.8585405345006609,0.29,-0.8163602114151274,0.316
80,2.2563025210084033,80,0.33,1.5,1,-0.8576333989929714,0.28,-0.8159593055553277,0.296
80,2.3361344537815123,80,0.33,1.5,1,-0.8567943093155636,0.28,-0.8155609330047819,0.272
80,2.4159663865546217,80,0.33,1.5,1,-0.8557932389719969,0.27,-0.8150663454163205,0.264
80,2.495798319327731,80,0.33,1.5,1,-0.854779631592575,0.26,-0.8145616364269939,0.26
80,2.57563025210084,80,0.33,1.5,1,-0.8536527402238935,0.25,-0.8140975526461952,0.244
80,2.6554621848739495,80,0.33,1.5,1,-0.8525636077913549,0.24,-0.8136880677080182,0.224
80,2.735294117647059,80,0.33,1.5,1,-0.8516329966425563,0.22,-0.8132120058579695,0.208
80,2.815126050420168,80,0.33,1.5,1,-0.8508734890514722,0.22,-0.8126419705678452,0.192
80,2.8949579831932772,80,0.33,1.5,1,-0.8499725404526305,0.2,-0.8121613508620699,0.188
80,2.974789915966386,80,0.33,1.5,1,-0.8490266463543954,0.19,-0.8117528649531394,0.188
80,3.0546218487394956,80,0.33,1.5,1,-0.8480545465315532,0.18,-0.8113538812413087,0.172
80,3.134453781512605,80,0.33,1.5,1,-0.8471189277995134,0.15,-0.810921526101514,0.168
80,3.214285714285714,80,0.33,1.5,1,-0.8462421798475143,0.14,-0.810512672732507,0.136
80,3.2941176470588234,80,0.33,1.5,1,-0.8453289158716498,0.12,-0.8101510722163461,0.132
80,3.3739495798319323,80,0.33,1.5,1,-0.8445204286048137,0.11,-0.8098609165266255,0.132
80,3.4537815126050417,80,0.33,1.5,1,-0.8438363805626153,0.07,-0.8095727025894038,0.132
80,3.533613445378151,80,0.33,1.5,1,-0.8432102805374201,0.06,-0.8092941418462505,0.116
80,3.61344537815126,80,0.33,1.5,1,-0.8427119180180148,0.06,-0.8090005444629912,0.112
80,3.6932773109243695,80,0.33,1.5,1,-0.8423110256149906,0.06,-0.8086901493767511,0.112
80,3.773109243697479,80,0.33,1.5,1,-0.8418907520917132,0.06,-0.80840350342631,0.104
80,3.852941176470588,80,0.33,1.5,1,-0.8415148684876766,0.06,-0.8080736177921987,0.104
80,3.9327731092436973,80,0.33,1.5,1,-0.8411650517018905,0.06,-0.8077259256399361,0.1
80,4.012605042016807,80,0.33,1.5,1,-0.8408164747267247,0.04,-0.8073937423298776,0.096
80,4.092436974789916,80,0.33,1.5,1,-0.8404357145212233,0.04,-0.8070549332537141,0.088
80,4.172268907563025,80,0.33,1.5,1,-0.8400371064684836,0.04,-0.8067155372327117,0.088
80,4.252100840336134,80,0.33,1.5,1,-0.839652243744667,0.04,-0.8063807210382002,0.084
80,4.331932773109243,80,0.33,1.5,1,-0.8392872145156116,0.04,-0.8060570175901619,0.08
80,4.411764705882353,80,0.33,1.5,1,-0.8389199707017891,0.03,-0.805702154373666,0.072
80,4.491596638655462,80,0.33,1.5,1,-0.8385394080974744,0.03,-0.8053378855352393,0.06
80,4.571428571428571,80,0.33,1.5,1,-0.8381632175414956,0.02,-0.804983171626433,0.056
80,4.65126050420168,80,0.33,1.5,1,-0.837716615932365,0.01,-0.8046688484332034,0.052
80,4.73109243697479,80,0.33,1.5,1,-0.8372456260252454,0.01,-0.8043814139273673,0.048
80,4.810924369747899,80,0.33,1.5,1,-0.8367929646424753,0.01,-0.8041039158273402,0.04
