seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
90,0.0001,90,0.35,1.5,1,-1.0218034267464338,0.88,-0.878728822248442,0.9
90,0.0001438449888287663,90,0.35,1.5,1,-1.0218034268391158,0.88,-0.878728822226824,0.9
90,0.00020691380811147902,90,0.35,1.5,1,-1.0218034267297904,0.88,-0.8787288222693187,0.9
90,0.00029763514416313193,90,0.35,1.5,1,-1.0218034267253517,0.88,-0.878728822158038,0.9
90,0.00042813323987193956,90,0.35,1.5,1,-1.0218034267260439,0.88,-0.8787288222019677,0.9
90,0.0006158482110660267,90,0.35,1.5,1,-1.0218034267618425,0.88,-0.8787288222082866,0.896
90,0.0008858667904100822,90,0.35,1.5,1,-1.0218034266837803,0.88,-0.878728822220416,0.896
90,0.0012742749857031334,90,0.35,1.5,1,-1.021803426611787,0.88,-0.8787288222670077,0.896
90,0.0018329807108324356,90,0.35,1.5,1,-1.0218034269169245,0.88,-0.878728822274348,0.896
90,0.0026366508987303583,90,0.35,1.5,1,-1.021803426778814,0.88,-0.8787288222422935,0.896
90,0.00379269019073225,90,0.35,1.5,1,-1.021803426480255,0.88,-0.8787288223396527,0.896
90,0.005455594781168515,90,0.35,1.5,1,-1.0214805880347477,0.88,-0.8787903300884327,0.896
90,0.007847599703514606,90,0.35,1.5,1,-1.0195105037841048,0.9,-0.8804414028490586,0.904
90,0.011288378916846883,90,0.35,1.5,1,-1.0186674549432129,0.9,-0.8813826292931807,0.908
90,0.01623776739188721,90,0.35,1.5,1,-1.0180588842300986,0.9,-0.8818322848943708,0.904
90,0.023357214690901212,90,0.35,1.5,1,-1.0176453150642077,0.9,-0.8821046031493863,0.904
90,0.03359818286283781,90,0.35,1.5,1,-1.0173608856067553,0.9,-0.8822830363966516,0.9
90,0.04832930238571752,90,0.35,1.5,1,-1.0068802379060795,0.9,-0.8849500510679897,0.9
90,0.06951927961775606,90,0.35,1.5,1,-1.0030953900338935,0.88,-0.8867021407639482,0.896
90,0.1,90,0.35,1.5,1,-1.0014274149203666,0.86,-0.8877236914192859,0.896
90,0.11,90,0.35,1.5,1,-1.0026455548807272,0.86,-0.8853184621316246,0.884
90,0.23538461538461536,90,0.35,1.5,1,-0.9961649284506197,0.87,-0.8902648817253012,0.888
90,0.36076923076923073,90,0.35,1.5,1,-0.9985315374749715,0.84,-0.8974330966577957,0.876
90,0.4861538461538461,90,0.35,1.5,1,-0.9958412863660631,0.82,-0.8992357047665566,0.836
90,0.6115384615384615,90,0.35,1.5,1,-0.9869178906618592,0.78,-0.901764964062545,0.792
90,0.7369230769230769,90,0.35,1.5,1,-0.9801896366756843,0.74,-0.9014090802276169,0.74
90,0.8623076923076922,90,0.35,1.5,1,-0.9771193386859552,0.71,-0.9012582048699967,0.66
90,0.9876923076923075,90,0.35,1.5,1,-0.9763027747027314,0.61,-0.9009293895661622,0.608
90,1.113076923076923,90,0.35,1.5,1,-0.9755898605035516,0.55,-0.8997399308195779,0.56
90,1.2384615384615385,90,0.35,1.5,1,-0.9700263934612553,0.45,-0.8996247669111284,0.508
90,1.363846153846154,90,0.35,1.5,1,-0.9592960075777056,0.41,-0.900882699731977,0.464
90,1.4892307692307691,90,0.35,1.5,1,-0.9508844554894845,0.35,-0.9014472630385767,0.404
90,1.6146153846153846,90,0.35,1.5,1,-0.9429667153616359,0.29,-0.901488790419193,0.364
90,1.74,90,0.35,1.5,1,-0.9349681532423822,0.27,-0.9001387892648113,0.3
90,1.8653846153846152,90,0.35,1.5,1,-0.9227083634464869,0.24,-0.8991001723154256,0.252
90,1.9907692307692306,90,0.35,1.5,1,-0.912020952759082,0.18,-0.8990474890450207,0.208
90,2.116153846153846,90,0.35,1.5,1,-0.9002810771274504,0.16,-0.8972196565645991,0.172
90,2.241538461538461,90,0.35,1.5,1,-0.8907477856858403,0.12,-0.8971668120273298,0.14
90,2.3669230769230767,90,0.35,1.5,1,-0.8829172161076511,0.1,-0.8978940818644205,0.116
90,2.492307692307692,90,0.35,1.5,1,-0.8768784088966166,0.09,-0.8984629667541326,0.112
90,2.6176923076923075,90,0.35,1.5,1,-0.87248353603696,0.09,-0.899270061951689,0.08
90,2.7430769230769227,90,0.35,1.5,1,-0.8695263931356075,0.08,-0.8998645914257059,0.064
90,2.868461538461538,90,0.35,1.5,1,-0.868112078738031,0.08,-0.8990839393408038,0.056
90,2.9938461538461536,90,0.35,1.5,1,-0.8647006860882547,0.07,-0.8997434629629627,0.036
90,3.119230769230769,90,0.35,1.5,1,-0.8615398978427196,0.05,-0.899747527962595,0.036
90,3.244615384615384,90,0.35,1.5,1,-0.8575836117085397,0.04,-0.8993274176412951,0.032
90,3.3699999999999997,90,0.35,1.5,1,-0.8545443583177262,0.03,-0.8988201094383841,0.032
90,3.495384615384615,90,0.35,1.5,1,-0.844950488341145,0.02,-0.8859142085110588,0.032
90,3.62076923076923,90,0.35,1.5,1,-0.8468417885608068,0.02,-0.8640286664832711,0.04
90,3.7461538461538457,90,0.35,1.5,1,-0.8451092486121528,0.02,-0.8856975641252312,0.028
90,3.871538461538461,90,0.35,1.5,1,-0.841620538507835,0.02,-0.8834270539062108,0.02
90,3.9969230769230766,90,0.35,1.5,1,-0.8395372942149336,0.01,-0.8804736447989064,0.016
90,4.122307692307692,90,0.35,1.5,1,-0.8394972344871979,0.01,-0.8776487218440412,0.016
90,4.247692307692308,90,0.35,1.5,1,-0.8390806985731915,0.01,-0.8750769690642277,0.012
90,4.373076923076923,90,0.35,1.5,1,-0.8173864374796378,0.01,-0.8600456685712229,0.008
90,4.498461538461538,90,0.35,1.5,1,-0.8197584071918874,0.02,-0.8493334003129444,0.028
90,4.623846153846154,90,0.35,1.5,1,-0.8196218613184161,0.02,-0.8393295991854302,0.04
90,4.749230769230769,90,0.35,1.5,1,-0.8191626267486793,0.02,-0.8375262482059134,0.04
90,4.874615384615384,90,0.35,1.5,1,-0.8187335956581443,0.02,-0.8361335597077181,0.036
90,5.0,90,0.35,1.5,1,-0.8193960632034134,0.02,-0.8355708555554157,0.036
