seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
50,0.0001,50,0.45,0.5,1,-0.7906185018281494,0.455,-0.8756592903786106,0.466
50,0.0001438449888287663,50,0.45,0.5,1,-0.7906185018774798,0.455,-0.8756592900474782,0.466
50,0.00020691380811147902,50,0.45,0.5,1,-0.7906185019421349,0.455,-0.875659290435532,0.466
50,0.00029763514416313193,50,0.45,0.5,1,-0.7906185017367509,0.455,-0.8756592900664278,0.466
50,0.00042813323987193956,50,0.45,0.5,1,-0.7906185019330519,0.455,-0.8756592904591364,0.466
50,0.0006158482110660267,50,0.45,0.5,1,-0.7906185017739645,0.455,-0.8756592899946091,0.466
50,0.0008858667904100822,50,0.45,0.5,1,-0.790618501917573,0.455,-0.8756592904104196,0.466
50,0.0012742749857031334,50,0.45,0.5,1,-0.790618501716678,0.455,-0.8756592903405559,0.466
50,0.0018329807108324356,50,0.45,0.5,1,-0.7906185021209987,0.455,-0.8756592904219258,0.466
50,0.0026366508987303583,50,0.45,0.5,1,-0.7906185018316004,0.455,-0.8756592901762033,0.466
50,0.00379269019073225,50,0.45,0.5,1,-0.7906185019992716,0.455,-0.8756592900590932,0.466
50,0.005455594781168515,50,0.45,0.5,1,-0.7906185017418208,0.455,-0.8756592900877989,0.464
50,0.007847599703514606,50,0.45,0.5,1,-0.7906185017023,0.455,-0.8756592900523577,0.464
50,0.011288378916846883,50,0.45,0.5,1,-0.790618501954687,0.455,-0.8756592900701817,0.462
50,0.01623776739188721,50,0.45,0.5,1,-0.7906185019215832,0.455,-0.8756592903438397,0.462
50,0.023357214690901212,50,0.45,0.5,1,-0.7906185019703972,0.455,-0.8756592901558155,0.46
50,0.03359818286283781,50,0.45,0.5,1,-0.7906185016675231,0.455,-0.8756592902720208,0.456
50,0.04832930238571752,50,0.45,0.5,1,-0.7906185019564319,0.455,-0.8756592904450298,0.454
50,0.06951927961775606,50,0.45,0.5,1,-0.7906185019005204,0.445,-0.8756592901380511,0.452
50,0.1,50,0.45,0.5,1,-0.7906185018422736,0.44,-0.875659290504767,0.446
50,0.11,50,0.45,0.5,1,-0.7906185022927292,0.435,-0.8756592901366238,0.444
50,0.23538461538461536,50,0.45,0.5,1,-0.7770959532570727,0.415,-0.8701355005852083,0.408
50,0.36076923076923073,50,0.45,0.5,1,-0.7797855478723471,0.4,-0.8271420115853558,0.382
50,0.4861538461538461,50,0.45,0.5,1,-0.7738544832799323,0.375,-0.8100382170443242,0.362
50,0.6115384615384615,50,0.45,0.5,1,-0.766043216153205,0.36,-0.8018388730674771,0.322
50,0.7369230769230769,50,0.45,0.5,1,-0.7616957697108816,0.325,-0.7973568506676876,0.3
50,0.8623076923076922,50,0.45,0.5,1,-0.7588669882211105,0.32,-0.794465148995856,0.28
50,0.9876923076923075,50,0.45,0.5,1,-0.7568609647741417,0.285,-0.7924236474669641,0.256
50,1.113076923076923,50,0.45,0.5,1,-0.7553558413708312,0.255,-0.7908968720215676,0.222
50,1.2384615384615385,50,0.45,0.5,1,-0.754181285188009,0.24,-0.7897080802666657,0.2
50,1.363846153846154,50,0.45,0.5,1,-0.7532367605886346,0.23,-0.788754348706491,0.18
50,1.4892307692307691,50,0.45,0.5,1,-0.7524623225478645,0.21,-0.7879716362699483,0.164
50,1.6146153846153846,50,0.45,0.5,1,-0.7518123048252814,0.185,-0.7873159860268024,0.146
50,1.74,50,0.45,0.5,1,-0.7512588327479918,0.165,-0.7867587448838006,0.14
50,1.8653846153846152,50,0.45,0.5,1,-0.7507844745973966,0.14,-0.7862801857122335,0.132
50,1.9907692307692306,50,0.45,0.5,1,-0.7503709225269385,0.13,-0.7858635878171755,0.116
50,2.116153846153846,50,0.45,0.5,1,-0.750007699210611,0.115,-0.7854978012983411,0.102
50,2.241538461538461,50,0.45,0.5,1,-0.7496860781151793,0.11,-0.7851739961266738,0.096
50,2.3669230769230767,50,0.45,0.5,1,-0.749399298747686,0.1,-0.7848852868180659,0.092
50,2.492307692307692,50,0.45,0.5,1,-0.7491419995671599,0.09,-0.784626315180705,0.08
50,2.6176923076923075,50,0.45,0.5,1,-0.7489096476889755,0.085,-0.7843925694089671,0.07
50,2.7430769230769227,50,0.45,0.5,1,-0.7486992362915456,0.065,-0.7841807997349381,0.066
50,2.868461538461538,50,0.45,0.5,1,-0.7485061988282788,0.06,-0.7839868221119375,0.062
50,2.9938461538461536,50,0.45,0.5,1,-0.7483306585657217,0.06,-0.7838103024438782,0.058
50,3.119230769230769,50,0.45,0.5,1,-0.7481693704521385,0.055,-0.7836480164541281,0.05
50,3.244615384615384,50,0.45,0.5,1,-0.748020541303918,0.05,-0.783498235551302,0.046
50,3.3699999999999997,50,0.45,0.5,1,-0.7478827798118979,0.05,-0.7833597563145926,0.042
50,3.495384615384615,50,0.45,0.5,1,-0.7477549617292414,0.05,-0.7832312703047786,0.04
50,3.62076923076923,50,0.45,0.5,1,-0.7476369403960288,0.045,-0.7831123692352797,0.036
50,3.7461538461538457,50,0.45,0.5,1,-0.7475263100783884,0.045,-0.7830011417056173,0.036
50,3.871538461538461,50,0.45,0.5,1,-0.7474226454706243,0.045,-0.7828969608874687,0.028
50,3.9969230769230766,50,0.45,0.5,1,-0.7473254307926893,0.04,-0.7827992976911607,0.028
50,4.122307692307692,50,0.45,0.5,1,-0.7472342083461113,0.04,-0.7827076453174916,0.024
50,4.247692307692308,50,0.45,0.5,1,-0.7475097862023382,0.035,-0.782568116551415,0.024
50,4.373076923076923,50,0.45,0.5,1,-0.7481837212602528,0.035,-0.7823775690300105,0.022
50,4.498461538461538,50,0.45,0.5,1,-0.7486464558001694,0.035,-0.7822189031522948,0.02
50,4.623846153846154,50,0.45,0.5,1,-0.7489516697149944,0.03,-0.7824274742503868,0.02
50,4.749230769230769,50,0.45,0.5,1,-0.7499484450582383,0.025,-0.7828347472080555,0.02
50,4.874615384615384,50,0.45,0.5,1,-0.7515196750609744,0.025,-0.7832455240841265,0.016
50,5.0,50,0.45,0.5,1,-0.7529717475634683,0.02,-0.7836509228019309,0.016
