seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
70,0.0001,70,0.15,0.5,1,-0.8089558500112743,0.76,-0.8361565821763456,0.74
70,0.00021544346900318845,70,0.15,0.5,1,-0.8089558500282288,0.76,-0.8361565822339219,0.74
70,0.00046415888336127773,70,0.15,0.5,1,-0.8089558499861633,0.76,-0.8361565821465846,0.736
70,0.001,70,0.15,0.5,1,-0.8089558499768402,0.76,-0.8361565821542826,0.736
70,0.002154434690031882,70,0.15,0.5,1,-0.8089558499592806,0.76,-0.8361565821909038,0.736
70,0.004641588833612777,70,0.15,0.5,1,-0.8089558500014573,0.76,-0.8361565822132604,0.736
70,0.01,70,0.15,0.5,1,-0.8089558499213154,0.76,-0.8361565821933826,0.732
70,0.021544346900318822,70,0.15,0.5,1,-0.8089558501628258,0.76,-0.8361565809647669,0.724
70,0.046415888336127774,70,0.15,0.5,1,-0.8161536234967273,0.7,-0.8029078528322127,0.692
70,0.1,70,0.15,0.5,1,-0.8294087544811436,0.62,-0.8096111012871177,0.64
70,0.11,70,0.15,0.5,1,-0.8319866367852761,0.61,-0.8133613355311169,0.624
70,0.14708333333333334,70,0.15,0.5,1,-0.8367264942347387,0.6,-0.8205742394237139,0.6
70,0.18416666666666667,70,0.15,0.5,1,-0.8387892160042054,0.6,-0.824100904788028,0.572
70,0.22125,70,0.15,0.5,1,-0.8399228550571723,0.58,-0.8261166583350785,0.556
70,0.25833333333333336,70,0.15,0.5,1,-0.840690337958038,0.55,-0.8274813400361754,0.528
70,0.29541666666666666,70,0.15,0.5,1,-0.8412473654586736,0.5,-0.828471805186501,0.508
70,0.3325,70,0.15,0.5,1,-0.8413652561521701,0.49,-0.8286814299404606,0.484
70,0.3695833333333333,70,0.15,0.5,1,-0.841365256579006,0.47,-0.8286814305731494,0.46
70,0.4066666666666667,70,0.15,0.5,1,-0.8413652566718823,0.46,-0.8286814307442419,0.432
70,0.44375000000000003,70,0.15,0.5,1,-0.8413652566456403,0.42,-0.8286814307632787,0.392
70,0.48083333333333333,70,0.15,0.5,1,-0.8368183848919253,0.42,-0.818438617260784,0.364
70,0.5179166666666667,70,0.15,0.5,1,-0.8351561410056331,0.41,-0.8146940529246873,0.348
70,0.555,70,0.15,0.5,1,-0.8343590384972955,0.38,-0.8128984067771567,0.324
70,0.5920833333333334,70,0.15,0.5,1,-0.8338660999676395,0.33,-0.8117879559082976,0.308
70,0.6291666666666667,70,0.15,0.5,1,-0.8336867621487742,0.3,-0.8113839586949075,0.276
70,0.66625,70,0.15,0.5,1,-0.833686762114996,0.28,-0.8113839586337721,0.252
70,0.7033333333333334,70,0.15,0.5,1,-0.8336867620747664,0.24,-0.8113839585461061,0.24
70,0.7404166666666667,70,0.15,0.5,1,-0.8336867620951368,0.2,-0.8113839585773954,0.236
70,0.7775000000000001,70,0.15,0.5,1,-0.8336867621282008,0.2,-0.8113839585806,0.208
70,0.8145833333333333,70,0.15,0.5,1,-0.8336867621009848,0.19,-0.8113839585657832,0.192
70,0.8516666666666667,70,0.15,0.5,1,-0.8336867621016372,0.18,-0.8113839586162458,0.176
70,0.88875,70,0.15,0.5,1,-0.833686762125213,0.16,-0.8113839585950055,0.144
70,0.9258333333333334,70,0.15,0.5,1,-0.8336867621339177,0.15,-0.8113839586038557,0.136
70,0.9629166666666668,70,0.15,0.5,1,-0.8336867621493198,0.12,-0.811383958622063,0.132
70,1.0,70,0.15,0.5,1,-0.8336867621684801,0.12,-0.8113839585718717,0.124
70,1.1,70,0.15,0.5,1,-0.8336867621319232,0.08,-0.8113839585472251,0.1
70,1.2512820512820513,70,0.15,0.5,1,-0.8337331259949959,0.06,-0.8113582882233586,0.084
