seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
30,0.0001,30,0.4,1.5,1,-0.8546717611173789,0.99,-0.6906575840799483,0.976,0.00050413,0.0,0.0
30,0.00021544346900318845,30,0.4,1.5,1,-0.8546717610651173,0.99,-0.6906575842189882,0.976,0.00050413,0.0,0.0
30,0.00046415888336127773,30,0.4,1.5,1,-0.8546717611142478,0.99,-0.6906575841329721,0.976,0.00050413,0.0,0.0
30,0.001,30,0.4,1.5,1,-0.8546717610725217,0.99,-0.6906575842292833,0.976,0.00050413,0.0,0.0
30,0.002154434690031882,30,0.4,1.5,1,-0.8546717611134982,0.99,-0.6906575842373193,0.976,0.00050413,0.0,0.0
30,0.004641588833612777,30,0.4,1.5,1,-0.8546717610678087,0.99,-0.6906575842222987,0.976,0.00050413,0.0,0.0
30,0.01,30,0.4,1.5,1,-0.8546717610885196,0.99,-0.6906575841879528,0.976,0.00050413,0.0,0.0
30,0.021544346900318822,30,0.4,1.5,1,-0.8546717610330451,0.98,-0.6906575842123983,0.972,0.00050413,0.0,0.0
30,0.046415888336127774,30,0.4,1.5,1,-0.8546717610742572,0.96,-0.6906575842255492,0.964,0.00050413,0.0,0.0
30,0.1,30,0.4,1.5,1,-0.8546717610653848,0.96,-0.6906575841945674,0.952,0.00050413,0.0,0.0
30,0.11,30,0.4,1.5,1,-0.8546717610559734,0.96,-0.6906575842026995,0.948,0.00050413,0.0,0.0
30,0.14708333333333334,30,0.4,1.5,1,-0.854671761026243,0.93,-0.6906575842079001,0.948,0.00050413,0.0,0.0
30,0.18416666666666667,30,0.4,1.5,1,-0.854671761084674,0.93,-0.690657584232224,0.948,0.00050413,0.0,0.0
30,0.22125,30,0.4,1.5,1,-0.8546717610705176,0.92,-0.6906575842591451,0.94,0.00050413,0.0,0.0
30,0.25833333333333336,30,0.4,1.5,1,-0.8539658237303226,0.87,-0.6897288519860797,0.904,0.00050413,0.0,0.0
30,0.29541666666666666,30,0.4,1.5,1,-0.8525297019749216,0.85,-0.6878394881186092,0.872,0.00050413,0.0,0.0
30,0.3325,30,0.4,1.5,1,-0.8522415114334584,0.84,-0.6874603442590406,0.848,0.00050413,0.0,0.0
30,0.3695833333333333,30,0.4,1.5,1,-0.8520985594469828,0.84,-0.6872722763435349,0.8,0.00050413,0.0,0.0
30,0.4066666666666667,30,0.4,1.5,1,-0.8520089854936986,0.82,-0.6871544327006468,0.788,0.00050413,0.0,0.0
30,0.44375000000000003,30,0.4,1.5,1,-0.8519461213025619,0.76,-0.6870717285083604,0.768,0.00050413,0.0,0.0
30,0.48083333333333333,30,0.4,1.5,1,-0.8518989182161778,0.73,-0.6870096280863469,0.732,0.00050413,0.0,0.0
30,0.5179166666666667,30,0.4,1.5,1,-0.8518618423662353,0.69,-0.6869608510390892,0.696,0.00050413,0.0,0.0
