seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
80,0.0001,80,0.15,0.75,1,-0.8531935014070499,0.585,-0.9147235286380142,0.538
80,0.00021544346900318845,80,0.15,0.75,1,-0.8531935013523987,0.585,-0.9147235285920635,0.538
80,0.00046415888336127773,80,0.15,0.75,1,-0.853193501352127,0.585,-0.9147235285759305,0.538
80,0.001,80,0.15,0.75,1,-0.8531935013527487,0.585,-0.9147235285680604,0.538
80,0.002154434690031882,80,0.15,0.75,1,-0.8531935013777141,0.58,-0.9147235286120017,0.536
80,0.004641588833612777,80,0.15,0.75,1,-0.8531935013689695,0.58,-0.9147235286230841,0.53
80,0.01,80,0.15,0.75,1,-0.853193501375708,0.575,-0.9147235285723666,0.526
80,0.021544346900318822,80,0.15,0.75,1,-0.8531935013363868,0.57,-0.9147235286150611,0.518
80,0.046415888336127774,80,0.15,0.75,1,-0.853193501014577,0.545,-0.9147235283730297,0.504
80,0.1,80,0.15,0.75,1,-0.8450994394771126,0.515,-0.9094684159438174,0.47
80,0.11,80,0.15,0.75,1,-0.8448052222181164,0.51,-0.9092773938191981,0.462
80,0.14708333333333334,80,0.15,0.75,1,-0.8441318388835594,0.475,-0.9088401961638943,0.436
80,0.18416666666666667,80,0.15,0.75,1,-0.8447866144166838,0.44,-0.9083943147544958,0.408
80,0.22125,80,0.15,0.75,1,-0.8449496828980254,0.405,-0.9082109161278517,0.37
80,0.25833333333333336,80,0.15,0.75,1,-0.843729007658502,0.375,-0.9078445631708223,0.336
80,0.29541666666666666,80,0.15,0.75,1,-0.843251435708668,0.345,-0.907711126101896,0.288
80,0.3325,80,0.15,0.75,1,-0.8429836178188617,0.315,-0.907643174787177,0.254
80,0.3695833333333333,80,0.15,0.75,1,-0.841638034096068,0.285,-0.9083337524269334,0.224
80,0.4066666666666667,80,0.15,0.75,1,-0.8389248564136293,0.25,-0.9102566409710382,0.196
80,0.44375000000000003,80,0.15,0.75,1,-0.8374745892011751,0.23,-0.9113777937649697,0.176
80,0.48083333333333333,80,0.15,0.75,1,-0.8367790767511727,0.205,-0.9122874310027742,0.158
80,0.5179166666666667,80,0.15,0.75,1,-0.83659083969985,0.18,-0.9131773167900338,0.148
80,0.555,80,0.15,0.75,1,-0.8364393333483007,0.16,-0.9138519857383177,0.13
80,0.5920833333333334,80,0.15,0.75,1,-0.8363136846044986,0.135,-0.9143858660408207,0.12
80,0.6291666666666667,80,0.15,0.75,1,-0.8361731338185292,0.12,-0.9147702458739818,0.104
80,0.66625,80,0.15,0.75,1,-0.835797210759547,0.11,-0.9147371711334557,0.096
80,0.7033333333333334,80,0.15,0.75,1,-0.8356237565547013,0.105,-0.9143744487240126,0.084
80,0.7404166666666667,80,0.15,0.75,1,-0.8346799242721764,0.095,-0.912853497340091,0.068
80,0.7775000000000001,80,0.15,0.75,1,-0.8336173945052692,0.09,-0.9115914661625667,0.064
80,0.8145833333333333,80,0.15,0.75,1,-0.823917702439755,0.075,-0.909438819827697,0.048
80,0.8516666666666667,80,0.15,0.75,1,-0.8177135710834336,0.07,-0.9079060930007719,0.042
80,0.88875,80,0.15,0.75,1,-0.8131227020908355,0.07,-0.9067190818818143,0.04
80,0.9258333333333334,80,0.15,0.75,1,-0.8094099165241282,0.06,-0.9051958041581067,0.04
80,0.9629166666666668,80,0.15,0.75,1,-0.8055302421874473,0.06,-0.9037799397805163,0.034
80,1.0,80,0.15,0.75,1,-0.801855221719463,0.055,-0.902552827149173,0.024
80,1.1,80,0.15,0.75,1,-0.7940327520199786,0.05,-0.8981226057572543,0.016
80,1.2512820512820513,80,0.15,0.75,1,-0.7698154816946163,0.035,-0.8881251868891802,0.012
80,1.4025641025641027,80,0.15,0.75,1,-0.7480529396441562,0.025,-0.8780165743145966,0.008
80,1.553846153846154,80,0.15,0.75,1,-0.7384030436180828,0.02,-0.8546584225693644,0.002
80,1.7051282051282053,80,0.15,0.75,1,-0.7314589591474063,0.01,-0.8386261448907624,0.002
80,1.8564102564102565,80,0.15,0.75,1,-0.7269011776240873,0.005,-0.8286738054492437,0.002
80,2.0076923076923077,80,0.15,0.75,1,-0.7236722552037097,0.005,-0.821647590338975,0.002
80,2.1589743589743593,80,0.15,0.75,1,-0.7213224177304066,0.005,-0.816460509635579,0.002
80,2.3102564102564105,80,0.15,0.75,1,-0.7196196722563993,0.005,-0.8124188894579456,0.002
80,2.4615384615384617,80,0.15,0.75,1,-0.7185023706391328,0.0,-0.809105695636546,0.002
80,2.6128205128205133,80,0.15,0.75,1,-0.7177617989676572,0.0,-0.8063051949891707,0.0
