seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
90,0.0001,90,0.25,1,1,-0.8826547711435734,0.955,-0.8474196691809088,0.972,0.003024265
90,0.00021544346900318845,90,0.25,1,1,-0.8826547711204381,0.955,-0.8474196691583906,0.972,0.003024265
90,0.00046415888336127773,90,0.25,1,1,-0.8826547711183115,0.955,-0.8474196691662956,0.972,0.003024265
90,0.001,90,0.25,1,1,-0.8826547711326046,0.955,-0.8474196691793437,0.97,0.003024265
90,0.002154434690031882,90,0.25,1,1,-0.8826547711383099,0.955,-0.8474196691693592,0.97,0.003024265
90,0.004641588833612777,90,0.25,1,1,-0.8826547711388858,0.955,-0.8474196691708564,0.97,0.003024265
90,0.01,90,0.25,1,1,-0.8826547711077207,0.955,-0.8474196691758501,0.97,0.003024265
90,0.021544346900318822,90,0.25,1,1,-0.8826547711084101,0.945,-0.8474196691735292,0.958,0.003024265
90,0.046415888336127774,90,0.25,1,1,-0.882654771125157,0.93,-0.8474196691873501,0.928,0.003024265
90,0.1,90,0.25,1,1,-0.8873318524550001,0.865,-0.8744095319526951,0.886,0.003024265
90,0.11,90,0.25,1,1,-0.8878582629864737,0.86,-0.8763673919215235,0.88,0.003024265
90,0.14708333333333334,90,0.25,1,1,-0.8818029464796555,0.825,-0.8750356680430939,0.822,0.003024265
90,0.18416666666666667,90,0.25,1,1,-0.8805516584008112,0.755,-0.8747032325341705,0.766,0.003024265
90,0.22125,90,0.25,1,1,-0.8729328444871566,0.7,-0.8762362078060255,0.712,0.003024265
90,0.25833333333333336,90,0.25,1,1,-0.8684324553640306,0.65,-0.8763943481095262,0.646,0.003024265
90,0.29541666666666666,90,0.25,1,1,-0.8608699616005374,0.63,-0.876554906471481,0.604,0.003024265
90,0.3325,90,0.25,1,1,-0.8499001359065769,0.6,-0.8772174980141808,0.572,0.003024265
90,0.3695833333333333,90,0.25,1,1,-0.8486475427698913,0.58,-0.8767146303198705,0.526,0.003024265
90,0.4066666666666667,90,0.25,1,1,-0.8480453368474735,0.545,-0.8763103287903028,0.496,0.003024265
90,0.44375000000000003,90,0.25,1,1,-0.8476728618964995,0.49,-0.875198886198952,0.46,0.003024265
90,0.48083333333333333,90,0.25,1,1,-0.8473114761688794,0.45,-0.8736684638127112,0.438,0.003024265
90,0.5179166666666667,90,0.25,1,1,-0.8472702497898092,0.43,-0.8732080335123807,0.404,0.003024265
90,0.555,90,0.25,1,1,-0.8473449180438241,0.4,-0.8730772594774661,0.38,0.003024265
90,0.5920833333333334,90,0.25,1,1,-0.8462914185993377,0.39,-0.8730351736387333,0.34,0.003024265
90,0.6291666666666667,90,0.25,1,1,-0.8458185279297077,0.34,-0.8730000711762603,0.302,0.003024265
90,0.66625,90,0.25,1,1,-0.8456760033176863,0.315,-0.8725785844244739,0.256,0.003024265
90,0.7033333333333334,90,0.25,1,1,-0.8457617903735306,0.28,-0.8720592651454058,0.222,0.003024265
90,0.7404166666666667,90,0.25,1,1,-0.8458319670126687,0.22,-0.8716528053038296,0.18,0.003024265
90,0.7775000000000001,90,0.25,1,1,-0.845979819887729,0.2,-0.8713094924154486,0.16,0.003024265
90,0.8145833333333333,90,0.25,1,1,-0.8462723405998216,0.155,-0.8708859797461337,0.13,0.003024265
90,0.8516666666666667,90,0.25,1,1,-0.8465005471053648,0.105,-0.8705652860241503,0.114,0.003024265
90,0.88875,90,0.25,1,1,-0.8466694209573484,0.09,-0.8704400373391541,0.094,0.003024265
90,0.9258333333333334,90,0.25,1,1,-0.8467712428092129,0.065,-0.8704360449843837,0.08,0.003024265
90,0.9629166666666668,90,0.25,1,1,-0.8468517195965924,0.05,-0.8704216892555983,0.064,0.003024265
90,1.0,90,0.25,1,1,-0.8469172987924487,0.04,-0.8704020235255138,0.046,0.003024265
90,1.1,90,0.25,1,1,-0.8470587355828002,0.03,-0.8705410912941282,0.02,0.003024265
90,1.2512820512820513,90,0.25,1,1,-0.8469039147088505,0.015,-0.8715960241488997,0.004,0.003024265
90,1.4025641025641027,90,0.25,1,1,-0.8470885956913835,0.0,-0.8730238518589725,0.0,0.003024265
90,1.553846153846154,90,0.25,1,1,-0.8469023836585459,0.0,-0.8739573989516336,0.0,0.003024265
90,1.7051282051282053,90,0.25,1,1,-0.8473743393283252,0.0,-0.8735787977069944,0.0,0.003024265
