seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
10,0.5,10,0.05,0.5,1,-0.8129549035698708,0.425,-0.7944323997261465,0.442
10,0.5798319327731092,10,0.05,0.5,1,-0.8132930000490574,0.335,-0.7954454728326749,0.372
10,0.6596638655462185,10,0.05,0.5,1,-0.8055309259591035,0.295,-0.7919775290102588,0.298
10,0.7394957983193278,10,0.05,0.5,1,-0.8016605537706762,0.275,-0.7901653012354909,0.268
10,0.819327731092437,10,0.05,0.5,1,-0.7996713318929296,0.235,-0.7896911322844421,0.238
10,0.8991596638655461,10,0.05,0.5,1,-0.798352838216271,0.195,-0.7892422229980448,0.206
10,0.9789915966386554,10,0.05,0.5,1,-0.7974835591195566,0.18,-0.788763169571342,0.184
10,1.0588235294117647,10,0.05,0.5,1,-0.7968854613669631,0.17,-0.7885364909230966,0.158
10,1.138655462184874,10,0.05,0.5,1,-0.7959374151863301,0.145,-0.7881167489149089,0.142
10,1.218487394957983,10,0.05,0.5,1,-0.7955349407832846,0.125,-0.7879002511111162,0.126
10,1.2983193277310923,10,0.05,0.5,1,-0.7952684445467417,0.1,-0.7879044687560787,0.112
10,1.3781512605042017,10,0.05,0.5,1,-0.7950843889632222,0.08,-0.7877922523186144,0.098
10,1.4579831932773109,10,0.05,0.5,1,-0.7948871474795047,0.08,-0.7876617771304687,0.086
10,1.53781512605042,10,0.05,0.5,1,-0.794677111577625,0.065,-0.7875208016225989,0.072
10,1.6176470588235294,10,0.05,0.5,1,-0.794406690970592,0.065,-0.7874193653293239,0.064
10,1.6974789915966386,10,0.05,0.5,1,-0.7942003315993081,0.065,-0.7873134242116921,0.062
10,1.7773109243697478,10,0.05,0.5,1,-0.7940653612509101,0.055,-0.7872961994326934,0.056
10,1.857142857142857,10,0.05,0.5,1,-0.7939727927864356,0.055,-0.7872600150208473,0.054
10,1.9369747899159662,10,0.05,0.5,1,-0.7938723902700485,0.055,-0.7871935087876225,0.05
10,2.0168067226890756,10,0.05,0.5,1,-0.7937272011009611,0.055,-0.7871321235037455,0.05
10,2.0966386554621845,10,0.05,0.5,1,-0.7935669415752994,0.055,-0.787072768828384,0.042
10,2.176470588235294,10,0.05,0.5,1,-0.7934416118782994,0.055,-0.7869991267572751,0.04
10,2.2563025210084033,10,0.05,0.5,1,-0.7933174059932163,0.05,-0.7868747479338428,0.036
10,2.3361344537815123,10,0.05,0.5,1,-0.7932475746491972,0.045,-0.7867792100354186,0.034
10,2.4159663865546217,10,0.05,0.5,1,-0.7931765909035849,0.04,-0.7866864053407817,0.032
10,2.495798319327731,10,0.05,0.5,1,-0.7930910463490357,0.035,-0.7865778314689819,0.028
10,2.57563025210084,10,0.05,0.5,1,-0.7929699833105175,0.035,-0.7864264099559257,0.026
10,2.6554621848739495,10,0.05,0.5,1,-0.7928556637158928,0.035,-0.7862910746355114,0.024
10,2.735294117647059,10,0.05,0.5,1,-0.792748483011946,0.035,-0.7861662367810893,0.024
10,2.815126050420168,10,0.05,0.5,1,-0.7926628821058651,0.035,-0.7860490121416213,0.024
10,2.8949579831932772,10,0.05,0.5,1,-0.7926232493181488,0.03,-0.7859211968044137,0.024
10,2.974789915966386,10,0.05,0.5,1,-0.7925887989860742,0.03,-0.7858070995300389,0.022
10,3.0546218487394956,10,0.05,0.5,1,-0.7925514241163688,0.03,-0.7856941612163355,0.02
10,3.134453781512605,10,0.05,0.5,1,-0.7925192044172107,0.025,-0.7855762248666486,0.018
10,3.214285714285714,10,0.05,0.5,1,-0.7925319255175037,0.025,-0.7854533540756561,0.018
10,3.2941176470588234,10,0.05,0.5,1,-0.7925993945739921,0.025,-0.7853389262577851,0.018
10,3.3739495798319323,10,0.05,0.5,1,-0.7926986830243444,0.02,-0.7852279803748347,0.014
10,3.4537815126050417,10,0.05,0.5,1,-0.792784023956301,0.02,-0.785108160572586,0.014
10,3.533613445378151,10,0.05,0.5,1,-0.7928541821675119,0.02,-0.7849869536418344,0.012
10,3.61344537815126,10,0.05,0.5,1,-0.7929135522357581,0.02,-0.7848754185626066,0.012
10,3.6932773109243695,10,0.05,0.5,1,-0.7930128261220101,0.02,-0.7847992231764551,0.012
10,3.773109243697479,10,0.05,0.5,1,-0.7930933863875431,0.02,-0.7847240000903594,0.012
10,3.852941176470588,10,0.05,0.5,1,-0.7931720303388932,0.02,-0.7846515082177378,0.012
10,3.9327731092436973,10,0.05,0.5,1,-0.7932222115705891,0.02,-0.784584233013906,0.012
10,4.012605042016807,10,0.05,0.5,1,-0.7932682312320619,0.02,-0.7845173016176927,0.01
10,4.092436974789916,10,0.05,0.5,1,-0.7933071660064036,0.015,-0.7844435869564877,0.01
10,4.172268907563025,10,0.05,0.5,1,-0.7933167670161914,0.005,-0.7843578057311706,0.01
10,4.252100840336134,10,0.05,0.5,1,-0.7933199211157855,0.005,-0.784269553413764,0.01
10,4.331932773109243,10,0.05,0.5,1,-0.7933265946772599,0.005,-0.7841885249973234,0.01
10,4.411764705882353,10,0.05,0.5,1,-0.7933349546786772,0.005,-0.7841118834413648,0.01
10,4.491596638655462,10,0.05,0.5,1,-0.7933422978193073,0.005,-0.7840391886306799,0.01
10,4.571428571428571,10,0.05,0.5,1,-0.7933490223283212,0.0,-0.7839702933121516,0.01
10,4.65126050420168,10,0.05,0.5,1,-0.7933681964532365,0.0,-0.7839113419469389,0.008
10,4.73109243697479,10,0.05,0.5,1,-0.7934070209505041,0.0,-0.7838640505476929,0.008
10,4.810924369747899,10,0.05,0.5,1,-0.7934448213346719,0.0,-0.7838183422043644,0.008
10,4.890756302521008,10,0.05,0.5,1,-0.7934676315240249,0.0,-0.7837773336577476,0.008
10,4.970588235294118,10,0.05,0.5,1,-0.7934851691313206,0.0,-0.7837384678115198,0.006
10,5.050420168067227,10,0.05,0.5,1,-0.7935080551557351,0.0,-0.7836971192131692,0.006
10,5.130252100840336,10,0.05,0.5,1,-0.7935409998300003,0.0,-0.7836579967459449,0.006
10,5.210084033613445,10,0.05,0.5,1,-0.7935711556911216,0.0,-0.7836202327795063,0.006
10,5.2899159663865545,10,0.05,0.5,1,-0.7935956966496444,0.0,-0.7835903080984598,0.006
10,5.369747899159663,10,0.05,0.5,1,-0.7936171668734079,0.0,-0.7835628887761126,0.004
10,5.449579831932772,10,0.05,0.5,1,-0.7936368691123294,0.0,-0.7835359057487407,0.004
10,5.529411764705882,10,0.05,0.5,1,-0.7936550531878435,0.0,-0.7835098260834064,0.004
10,5.609243697478991,10,0.05,0.5,1,-0.7936718431352807,0.0,-0.783484583549756,0.004
10,5.6890756302521,10,0.05,0.5,1,-0.7936869601070938,0.0,-0.7834603487219656,0.004
10,5.76890756302521,10,0.05,0.5,1,-0.7937009205311572,0.0,-0.7834368682407645,0.004
10,5.848739495798319,10,0.05,0.5,1,-0.7937138932033778,0.0,-0.783414134096313,0.004
10,5.928571428571428,10,0.05,0.5,1,-0.7937260342291184,0.0,-0.7833921021557542,0.004
10,6.008403361344538,10,0.05,0.5,1,-0.7937370024031588,0.0,-0.7833703822857809,0.004
10,6.088235294117647,10,0.05,0.5,1,-0.793741667510277,0.0,-0.7833458352676713,0.004
10,6.168067226890756,10,0.05,0.5,1,-0.7937462086424251,0.0,-0.7833221095376839,0.004
10,6.247899159663865,10,0.05,0.5,1,-0.7937506464921453,0.0,-0.7832992165326214,0.004
10,6.3277310924369745,10,0.05,0.5,1,-0.7937546834254438,0.0,-0.7832770144777036,0.004
10,6.4075630252100835,10,0.05,0.5,1,-0.793758243414479,0.0,-0.7832562896784977,0.004
10,6.487394957983192,10,0.05,0.5,1,-0.7937611521071514,0.0,-0.7832364257798212,0.004
10,6.567226890756302,10,0.05,0.5,1,-0.7937631718931882,0.0,-0.7832184743341108,0.004
10,6.647058823529411,10,0.05,0.5,1,-0.79376923517566,0.0,-0.7832063578431258,0.004
10,6.72689075630252,10,0.05,0.5,1,-0.7937783375751625,0.0,-0.7832003941625552,0.004
10,6.80672268907563,10,0.05,0.5,1,-0.7937870380350524,0.0,-0.7831945729782976,0.004
10,6.886554621848739,10,0.05,0.5,1,-0.7937953052579774,0.0,-0.7831888144365357,0.004
10,6.966386554621848,10,0.05,0.5,1,-0.7938031700756831,0.0,-0.7831831944518358,0.002
10,7.046218487394958,10,0.05,0.5,1,-0.7938123124273636,0.0,-0.7831764984863337,0.002
10,7.126050420168067,10,0.05,0.5,1,-0.7938214086157722,0.0,-0.7831696656204207,0.002
10,7.205882352941176,10,0.05,0.5,1,-0.7938301138432158,0.0,-0.7831629777143454,0.002
10,7.285714285714286,10,0.05,0.5,1,-0.7938384111185383,0.0,-0.7831564019780897,0.002
10,7.3655462184873945,10,0.05,0.5,1,-0.7938463604380065,0.0,-0.7831499747222035,0.002
10,7.4453781512605035,10,0.05,0.5,1,-0.793854102259707,0.0,-0.7831437016407095,0.002
10,7.525210084033613,10,0.05,0.5,1,-0.7938593881566789,0.0,-0.7831368450375992,0.002
10,7.605042016806722,10,0.05,0.5,1,-0.7938636365929639,0.0,-0.7831298009500165,0.002
10,7.684873949579831,10,0.05,0.5,1,-0.7938575334314828,0.0,-0.7831255903245095,0.002
