,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8511658103171931,-0.9329676725634541,-0.7727830542846136,[0.232],0.5349931865529027,0.0,0.232,"(0,)",-0.8597268470019058,[0.24],0.6046540613123372,0.24
1,0.5423728813559322,-0.8476260068451994,-0.9249257302875503,-0.7717616081169488,[0.21],0.48040386398042756,0.0,0.21,"(0,)",-0.8556651144815794,[0.225],0.547352447672262,0.225
2,0.5847457627118644,-0.8448284021130178,-0.9192778601829723,-0.7691188583322858,[0.19],0.43484212786404725,0.0,0.19,"(0,)",-0.8524549434445038,[0.21],0.496522835201177,0.21
3,0.6271186440677966,-0.8425474568062803,-0.9147216200330358,-0.7670521206243252,[0.166],0.3972965504213529,0.0,0.166,"(0,)",-0.8498377571722368,[0.1975],0.4525508875853614,0.1975
4,0.6694915254237288,-0.84058110098708,-0.9109212195455813,-0.7644284536310156,[0.15],0.3657906935455479,0.0,0.15,"(0,)",-0.847587419334966,[0.185],0.41282915274148435,0.185
5,0.711864406779661,-0.8384992582204917,-0.9085973619030903,-0.763192506258016,[0.138],0.3367401743234483,0.0,0.138,"(0,)",-0.8452761094308309,[0.165],0.37624027751546857,0.165
6,0.7542372881355932,-0.8364345469915164,-0.907402261521011,-0.7620516542383521,[0.124],0.3113030480259266,0.0,0.124,"(0,)",-0.8431281823129857,[0.1525],0.34534288141350394,0.1525
7,0.7966101694915254,-0.8346593818499934,-0.9049363016952665,-0.761856203057821,[0.113],0.2890825421963,0.0,0.113,"(0,)",-0.84128171791299,[0.1425],0.3180762482578559,0.1425
8,0.8389830508474576,-0.8331108143041209,-0.9028213881982897,-0.7616178932685819,[0.098],0.26907477765195614,0.0,0.098,"(0,)",-0.8396708261946684,[0.1325],0.293338623042327,0.1325
9,0.8813559322033898,-0.831748130545848,-0.8997717932231888,-0.7593230139720196,[0.092],0.2519951920498064,0.0,0.092,"(0,)",-0.8382531311519794,[0.1275],0.27011777133875464,0.1275
10,0.923728813559322,-0.8301574126332941,-0.8981637717421846,-0.7582715983992501,[0.087],0.23538005454040328,0.0,0.087,"(0,)",-0.8365921752460264,[0.1175],0.2486030823480137,0.1175
11,0.9661016949152542,-0.8279252061626321,-0.8951354711817804,-0.7560526501086692,[0.081],0.21969858808807075,0.0,0.081,"(0,)",-0.8342404631896944,[0.1],0.23004478630131953,0.1
12,1.0084745762711864,-0.8259442498862127,-0.8917551962769206,-0.754628798136492,[0.076],0.2052584658166181,0.0,0.076,"(0,)",-0.832153540322,[0.09],0.21402773564367705,0.09
13,1.0508474576271185,-0.8241728350796128,-0.8883782994954367,-0.7558734350880039,[0.073],0.192018168126165,0.0,0.073,"(0,)",-0.8302873376507212,[0.08],0.19968224975253462,0.08
14,1.0932203389830508,-0.8224587256657423,-0.8854507691925351,-0.7533807735336318,[0.068],0.17926942464510015,0.0,0.068,"(0,)",-0.8284818284658745,[0.0775],0.18613357448424084,0.0775
15,1.1355932203389831,-0.8206992038333489,-0.882789335913407,-0.7508695988825081,[0.063],0.16744917148833094,0.0,0.063,"(0,)",-0.826628972085312,[0.0725],0.17296461405348595,0.0725
16,1.1779661016949152,-0.8191018240341609,-0.8819410949561812,-0.7496304604231806,[0.06],0.15662238141393842,0.0,0.06,"(0,)",-0.824946860311165,[0.07],0.1606769668475183,0.07
17,1.2203389830508473,-0.8176447596642759,-0.8802177770277093,-0.7495607022353665,[0.058],0.1462197895617784,0.0,0.058,"(0,)",-0.8234125046597522,[0.0625],0.14935119622946907,0.0625
18,1.2627118644067796,-0.8163103314684726,-0.8792665964966258,-0.748385336834273,[0.055],0.13635429849263186,0.0,0.055,"(0,)",-0.8220072991288739,[0.0625],0.13906623329214332,0.0625
19,1.305084745762712,-0.8150819005337171,-0.8777876744377783,-0.7467090568011402,[0.053],0.12721231994169974,0.0,0.053,"(0,)",-0.820713709881702,[0.0575],0.12934603406297684,0.0575
20,1.347457627118644,-0.8137511970278208,-0.8774042710473527,-0.7457593645601732,[0.051],0.11822833386161594,0.0,0.051,"(0,)",-0.8193152638427403,[0.0525],0.11985624230578754,0.0525
21,1.3898305084745761,-0.812439245342981,-0.8755191489503479,-0.7450911824766364,[0.047],0.10992714686624365,0.0,0.047,"(0,)",-0.8179375361389363,[0.0475],0.11147987885008255,0.0475
22,1.4322033898305084,-0.8112232049296292,-0.8743823701963404,-0.7444033251971176,[0.044],0.10219921535186806,0.0,0.044,"(0,)",-0.8166605302500471,[0.0475],0.10374966371364211,0.0475
23,1.4745762711864407,-0.8100921714365852,-0.8729935966361999,-0.7432447378077672,[0.035],0.09545434696948814,0.0,0.035,"(0,)",-0.8154727907336519,[0.0475],0.09604271689675353,0.0475
24,1.5169491525423728,-0.8090370979773727,-0.8724502003589613,-0.7425101448170639,[0.033],0.08979134452867725,0.0,0.033,"(0,)",-0.8143648190099466,[0.04],0.0890683474416464,0.04
25,1.559322033898305,-0.8080502705787382,-0.8721817117421159,-0.7426718723598547,[0.032],0.0843735904447779,0.0,0.032,"(0,)",-0.813328514997734,[0.035],0.08314561824754108,0.035
26,1.6016949152542372,-0.8071250090392512,-0.8706934636754611,-0.7417537905389983,[0.029],0.07928146035713297,0.0,0.029,"(0,)",-0.8123568638915037,[0.03],0.07808902803978911,0.03
27,1.6440677966101696,-0.8062554934859195,-0.8692540316422697,-0.7412646054565568,[0.026],0.07476870095394109,0.0,0.026,"(0,)",-0.811443753738892,[0.0225],0.07443614091475881,0.0225
28,1.6864406779661016,-0.805436624393318,-0.8689827974420871,-0.7407368960751116,[0.022],0.07069126640745288,0.0,0.022,"(0,)",-0.8105838292562129,[0.0225],0.07099307492691986,0.0225
29,1.7288135593220337,-0.8046639339783472,-0.8682847750051309,-0.7393232409079358,[0.021],0.06700651634812202,0.0,0.021,"(0,)",-0.809772398638726,[0.0225],0.06754718570677003,0.0225
30,1.771186440677966,-0.8039335206703188,-0.8674170752289672,-0.738858038819213,[0.019],0.0635310612302829,0.0,0.019,"(0,)",-0.809005363110545,[0.02],0.06424024429247824,0.02
31,1.8135593220338984,-0.8032418489991032,-0.8666694787729413,-0.7381285461270576,[0.018],0.06038641554003302,0.0,0.018,"(0,)",-0.8082790133467397,[0.02],0.061172726916539785,0.02
32,1.8559322033898304,-0.8025858334315774,-0.8655255389233366,-0.7375234902806308,[0.017],0.057407337203288555,0.0,0.017,"(0,)",-0.8075901072079731,[0.0175],0.05813586333801672,0.0175
33,1.8983050847457625,-0.8019626978162623,-0.8638037488852768,-0.7368342782859579,[0.016],0.05457050739626913,0.0,0.016,"(0,)",-0.806935729522246,[0.0175],0.05539236707288819,0.0175
34,1.9406779661016949,-0.8013699524100243,-0.863350582254895,-0.7362417011176904,[0.014],0.05194127366961934,0.0,0.014,"(0,)",-0.8063132657013989,[0.0175],0.05265033965400952,0.0175
35,1.9830508474576272,-0.8008053646361596,-0.8626949665398914,-0.73544664121294,[0.013],0.04961540139703079,0.0,0.013,"(0,)",-0.8057203712496329,[0.0175],0.04990969596160818,0.0175
36,2.0254237288135593,-0.8002669244358936,-0.8614177186421884,-0.7345162980037686,[0.012],0.047490960662821,0.0,0.012,"(0,)",-0.8051549353190015,[0.015],0.04738308307095704,0.015
37,2.0677966101694913,-0.799752811062269,-0.8607731056027507,-0.7347032346573502,[0.012],0.04543670186440957,0.0,0.012,"(0,)",-0.8046150458889281,[0.015],0.0449905783469384,0.015
38,2.110169491525424,-0.7992613800035044,-0.8598304247071681,-0.734209757631401,[0.01],0.04351706054204754,0.0,0.01,"(0,)",-0.8040989759599185,[0.015],0.0426010780727077,0.015
39,2.152542372881356,-0.7987911062888188,-0.8593483088722897,-0.7335908920239556,[0.01],0.041803606275759575,0.0,0.01,"(0,)",-0.803605124136436,[0.015],0.04021439549809286,0.015
40,2.194915254237288,-0.7983406179691024,-0.8592384429584285,-0.7334772422811021,[0.009],0.0402742222711813,0.0,0.009,"(0,)",-0.8031320496875556,[0.0125],0.03798972781221019,0.0125
41,2.23728813559322,-0.7979086623808505,-0.8594749980306837,-0.73322494244327,[0.009],0.038755143840383866,0.0,0.009,"(0,)",-0.8026784371457041,[0.0125],0.03601657508073884,0.0125
42,2.2796610169491522,-0.7974940925989146,-0.8588347051119116,-0.7324080608158968,[0.008],0.03725767710298249,0.0,0.008,"(0,)",-0.8022430820827195,[0.0125],0.03404491183827481,0.0125
43,2.3220338983050848,-0.7970958563255646,-0.8581266901928913,-0.7318178458372893,[0.007],0.03597383554164982,0.0,0.007,"(0,)",-0.8018248794422853,[0.01],0.03239090575546851,0.01
44,2.364406779661017,-0.7967129862949014,-0.8577388673337246,-0.731453194667366,[0.007],0.034818829139082755,0.0,0.007,"(0,)",-0.8014228134622516,[0.0075],0.03123728501521426,0.0075
45,2.406779661016949,-0.7963445912444979,-0.8574201809859239,-0.7312030638086164,[0.007],0.0336665069876147,0.0,0.007,"(0,)",-0.8010359481952122,[0.0075],0.030090215453659173,0.0075
46,2.4491525423728815,-0.7959898487422264,-0.856483019919223,-0.7309622026356021,[0.007],0.03251671899867799,0.0,0.007,"(0,)",-0.8006634199742902,[0.0075],0.028942616089607274,0.0075
47,2.4915254237288136,-0.7956479991300682,-0.8556645975260676,-0.7307300953361455,[0.006],0.03140992566866489,0.0,0.006,"(0,)",-0.8003044310552915,[0.0075],0.027794518694297464,0.0075
48,2.5338983050847457,-0.7953183389125877,-0.8554082783660091,-0.7305062642627509,[0.006],0.03042678669029075,0.0,0.006,"(0,)",-0.7999582426706878,[0.0075],0.02664595250746271,0.0075
49,2.5762711864406778,-0.7950002152220069,-0.8548179134397259,-0.73008391767731,[0.006],0.029445543981522812,0.0,0.006,"(0,)",-0.7996241692205536,[0.0075],0.02549694453866768,0.0075
