,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8916937385151109,-1.021658326277132,-0.750230875025676,[0.212],0.6421553559765585,0.0,0.212,"(0,)",-0.8144831095867135,[0.34],1.3355682715957897,0.34
1,0.5423728813559322,-0.8883136418949964,-1.0188567403933613,-0.7480214383033745,[0.204],0.5650015232832366,0.0,0.204,"(0,)",-0.8131146023114862,[0.32],1.2039647799038198,0.32
2,0.5847457627118644,-0.885563946527346,-1.015922467860262,-0.7451757674552072,[0.18],0.49681387370191127,0.0,0.18,"(0,)",-0.8120017019009745,[0.31],1.084642372568259,0.31
3,0.6271186440677966,-0.8821117255547154,-1.0101706290785635,-0.7480665589651649,[0.156],0.43887652648270364,0.0,0.156,"(0,)",-0.8103719005130497,[0.28],0.9775283390620456,0.28
4,0.6694915254237288,-0.8782038702683466,-1.0085470532656324,-0.7488999311760971,[0.148],0.3858289003014729,0.0,0.148,"(0,)",-0.8083911789180251,[0.26],0.8769413455814715,0.26
5,0.711864406779661,-0.8749100640697286,-1.0029484950809093,-0.7502650574881303,[0.128],0.3395884082034859,0.0,0.128,"(0,)",-0.8067217388668441,[0.26],0.7858939963886615,0.26
6,0.7542372881355932,-0.8720886965631743,-0.9956953677820823,-0.7510701553942577,[0.108],0.3030287685527369,0.0,0.108,"(0,)",-0.8052916867458458,[0.23],0.7030307492148293,0.23
7,0.7966101694915254,-0.869641118521556,-0.9907153232691849,-0.748484692166764,[0.096],0.2720278935286611,0.0,0.096,"(0,)",-0.804051132968553,[0.22],0.6280670647264094,0.22
8,0.8389830508474576,-0.8674937320179718,-0.9877287706387949,-0.7478252394294836,[0.08],0.24554503462531285,0.0,0.08,"(0,)",-0.802962724070615,[0.19],0.5613580865648156,0.19
9,0.8813559322033898,-0.8655925279614032,-0.9850845414589662,-0.7487629831341158,[0.08],0.221865304325221,0.0,0.08,"(0,)",-0.8019990920899019,[0.19],0.5001245418607033,0.19
10,0.923728813559322,-0.8638958726955269,-0.9827248257530159,-0.7481602448476999,[0.068],0.20023059998129777,0.0,0.068,"(0,)",-0.8011391370738411,[0.17],0.44472238741968734,0.17
11,0.9661016949152542,-0.8623712528544525,-0.9806043851214664,-0.7483868211712389,[0.064],0.18116462116270277,0.0,0.064,"(0,)",-0.800366378964527,[0.17],0.391999644846642,0.17
