,Rho,Test_other_obj,Test_obj,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_obj,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-0.8679466228057413,-0.9069822656103322,0.4383243005855297,0.4383243005855297,0.4383243005855297,[0.516],5.698524460424853,0.0,0.516,"(0,)",-0.9069822656103179,0.48290343166865163,[0.455],5.223843944598755,0.455
1,0.00021544346900318845,-0.8679466221383454,-0.9068936450707573,0.43832429008209856,0.43832429008209856,0.43832429008209856,[0.516],5.697609860728333,0.0,0.516,"(0,)",-0.9068936450708237,0.48290342104819517,[0.455],5.223037464780443,0.455
2,0.00046415888336127773,-0.8679466228510943,-0.9067027227034982,0.4383243011187641,0.4383243011187641,0.4383243011187641,[0.516],5.695639579405442,0.0,0.516,"(0,)",-0.9067027227034953,0.4829034321845428,[0.455],5.221300105574432,0.455
3,0.001,-0.8679466227770354,-0.9062913893315814,0.43832429984270127,0.43832429984270127,0.43832429984270127,[0.516],5.691394614626993,0.0,0.516,"(0,)",-0.9062913893315538,0.4829034308867606,[0.455],5.217556967759157,0.455
4,0.002154434690031882,-0.8679466228999723,-0.905405199079944,0.43832430198377015,0.43832430198377015,0.43832430198377015,[0.516],5.682249138596035,0.0,0.516,"(0,)",-0.9054051990799437,0.4829034330652022,[0.455],5.209492643429896,0.455
5,0.004641588833612777,-0.8679466225150466,-0.903495958569647,0.4383242961111843,0.4383242961111843,0.4383242961111843,[0.516],5.662545756749165,0.0,0.516,"(0,)",-0.9034959585695893,0.48290342712349504,[0.455],5.1921185366341085,0.455
6,0.01,-0.8679466228884811,-0.8993826273862624,0.43832430196894895,0.43832430196894895,0.43832430196894895,[0.516],5.6200961987339815,0.0,0.516,"(0,)",-0.8993826273862595,0.4829034330578357,[0.45],5.155017138978503,0.45
7,0.021544346900318822,-0.8679466228919457,-0.8905207221703635,0.4383243017707517,0.4383243017707517,0.4383243017707517,[0.514],5.528814213322927,0.0,0.514,"(0,)",-0.8905207221703556,0.4829034328456193,[0.45],5.075259991129831,0.45
8,0.046415888336127774,-0.8679466221503009,-0.8714283251191609,0.43832427787582384,0.43832427787582384,0.43832427787582384,[0.5],5.335251138478353,0.0,0.5,"(0,)",-0.8714283251192694,0.48290340812220844,[0.44],4.905140004032125,0.44
9,0.1,-0.8626854099138193,-0.8371150690975844,0.036498669635843174,0.036498669635843174,0.036498669635843174,[0.468],3.6537345468074673,0.0,0.468,"(0,)",-0.8371150690976396,0.06700951713285,[0.375],3.1229439146030695,0.375
10,0.11,-0.8623018250036643,-0.8316821259626579,0.01809132400559441,0.01809132400559441,0.01809132400559441,[0.462],3.5316565193068175,0.0,0.462,"(0,)",-0.8316821259626507,0.04254014503327657,[0.39],3.0056401598633387,0.39
