seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
90,0.0001,90,0.15,5,1.5,-0.011775161985301047,0.505,-0.07426345327240676,0.46,0.000422443,0.0,0.0,-0.8971674842036239,-0.8968723332879447,-0.8761673998098801,-0.9492839730529947,0.4932402500815468,0.4007968453876016
90,0.00016378937069540646,90,0.15,5,1.5,-0.011775146208679903,0.505,-0.0742634510236868,0.46,0.000422443,0.0,0.0,-0.8971130691890794,-0.8968182129777295,-0.8761673996515958,-0.9492839731719863,0.4932402549481993,0.40079684894387246
90,0.00026826957952797245,90,0.15,5,1.5,-0.011775203764465008,0.505,-0.07426345144617762,0.46,0.000422443,0.0,0.0,-0.8970239422153733,-0.8967295689459229,-0.8761674005670952,-0.9492839728289434,0.4932402446866302,0.4007968412177083
90,0.00043939705607607906,90,0.15,5,1.5,-0.011775117188335467,0.505,-0.0742634520756948,0.46,0.000422443,0.0,0.0,-0.8968779632386813,-0.8965843806830415,-0.8761673990937794,-0.9492839732680989,0.4932402566519494,0.40079685013242045
90,0.0007196856730011522,90,0.15,5,1.5,-0.01177512943464704,0.505,-0.0742634510066577,0.46,0.000422443,0.0,0.0,-0.8966388640691362,-0.8963465768483688,-0.8761673991448299,-0.9492839731522565,0.49324025526736714,0.40079684918043074
90,0.0011787686347935866,90,0.15,5,1.5,-0.011775125660154215,0.505,-0.07426345293556322,0.46,0.000422443,0.0,0.0,-0.8962472454730357,-0.8959570797580814,-0.8761673991745959,-0.94928397302489,0.49324024837693026,0.4007968465297495
90,0.0019306977288832496,90,0.15,5,1.5,-0.011775128564257593,0.505,-0.07426345167700067,0.46,0.000422443,0.0,0.0,-0.8956058159370045,-0.8953191250084231,-0.8761673993309671,-0.9492839732746712,0.4932402561589669,0.40079685010971294
90,0.0031622776601683794,90,0.15,5,1.5,-0.011775209580513361,0.505,-0.074263450695082,0.46,0.000422443,0.0,0.0,-0.8945552220805791,-0.8942742225549919,-0.8761674007348003,-0.9492839728996627,0.49324024227046787,0.40079684093037765
90,0.005179474679231213,90,0.15,5,1.5,-0.030793703793548986,0.5,-0.11990963212183035,0.452,0.000422443,0.0,0.0,-0.8928732049445134,-0.8925950700414074,-0.8873030242554756,-0.947296161371328,0.4767342916979976,0.3572024563721065
90,0.008483428982440717,90,0.15,5,1.5,-0.0307937030579262,0.49,-0.14216704065049257,0.442,0.000422443,0.0,0.0,-0.890173865920795,-0.8898978023030596,-0.8894608872805583,-0.9448271627264403,0.4219184125298083,0.33855313880476245
90,0.013894954943731374,90,0.15,5,1.5,-0.07903472871736734,0.48,-0.1711613191381878,0.436,0.000422443,0.0,0.0,-0.8858218968261886,-0.8855609009749735,-0.8904427603251226,-0.9435413460550216,0.41447838477431964,0.3372144955787289
90,0.022758459260747887,90,0.15,5,1.5,-0.07903473052311141,0.47,-0.17116131972403717,0.426,0.000422443,0.0,0.0,-0.8787231657534694,-0.8784917741029362,-0.8911464047884374,-0.9433062268875224,0.4144783869635506,0.3372144959471574
90,0.03727593720314938,90,0.15,5,1.5,-0.10857983143937994,0.435,-0.17609299089191335,0.396,0.000422443,0.0,0.0,-0.867211393374862,-0.8670695251007375,-0.884931627433431,-0.9452073291487957,0.41038438001317107,0.33606789662838016
90,0.061054022965853265,90,0.15,5,1.5,-0.10592490364411576,0.425,-0.1879297255745298,0.384,0.000422443,0.0,0.0,-0.849230483712447,-0.8490751035557548,-0.8856370594640977,-0.9467576443723555,0.3868461577867659,0.3216715749893048
90,0.1,90,0.15,5,1.5,-0.24803979042353405,0.35,-0.30076626369933523,0.34,0.000422443,0.0,0.0,-0.822699787047526,-0.8226712855294922,-0.9082928484600279,-0.9352406727124755,0.09248307602064865,0.16580946516188033
90,0.11,90,0.15,5,1.5,-0.29063631885766766,0.35,-0.30404116704063344,0.32,0.000422443,0.0,0.0,-0.8165004222059544,-0.816413823200834,-0.9042367894924485,-0.9309646133457734,0.08105328286576913,0.14012753835854694
90,0.1568421052631579,90,0.15,5,1.5,-0.4162732135682039,0.3,-0.40118603710518597,0.286,0.000422443,0.0,0.0,-0.7898365727894688,-0.7895319000719542,-0.8747501793112824,-0.9109172318693034,0.03879452992433311,0.044336540457017404
90,0.2036842105263158,90,0.15,5,1.5,-0.46654708988091764,0.265,-0.5094058148591416,0.23,0.000422443,0.0,0.0,-0.7674462167784845,-0.7669679951202663,-0.8643886673668564,-0.9032612639329496,0.00725422933357052,-0.05502132073753722
90,0.25052631578947365,90,0.15,5,1.5,-0.4665470893232793,0.215,-0.5687119098964313,0.212,0.000422443,0.0,0.0,-0.7472106475042511,-0.7468387831894217,-0.8606592639394828,-0.89820836051635,-0.010536278191755044,-0.07702863905221645
90,0.29736842105263156,90,0.15,5,1.5,-0.574146106490044,0.17,-0.6264781378965992,0.176,0.000422443,0.0,0.0,-0.7291839074759645,-0.7291235648022639,-0.8643848741493357,-0.8946606718211286,-0.13769022371077672,-0.24882047207878352
90,0.34421052631578947,90,0.15,5,1.5,-0.6526756373517634,0.15,-0.6570617329952304,0.152,0.000422443,0.0,0.0,-0.7144374347333752,-0.7146147549050945,-0.8653138869573721,-0.8858856268300653,-0.2565171312816231,-0.3174415355729733
90,0.3910526315789473,90,0.15,5,1.5,-0.6964773416208393,0.11,-0.7182652156989899,0.118,0.000422443,0.0,0.0,-0.7019812165056848,-0.7022931058166689,-0.8684427454190085,-0.8776532982243198,-0.3892766221866048,-0.41734863933209726
90,0.4378947368421052,90,0.15,5,1.5,-0.7479618200338221,0.085,-0.7442641268786481,0.082,0.000422443,0.0,0.0,-0.6919833237790374,-0.6923264973266744,-0.8708900170521562,-0.8718120114404451,-0.4913553398532651,-0.49104584374861543
90,0.48473684210526313,90,0.15,5,1.5,-0.7563619988571486,0.08,-0.7521355958519116,0.078,0.000422443,0.0,0.0,-0.6831317887545905,-0.6834598457672107,-0.8700989682631429,-0.8701490436415531,-0.5139822084962908,-0.5177783572848577
