seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
50,0.0001,50,0.2,1.5,1.5,-0.18402519787962132,0.3625,-0.25878993484493784,0.363,0.00037411,0.0,0.0,-0.7753284926117925,-0.7700636558801034,-0.9159426586399008,-0.9127122733524217,0.26887573816893706,0.08004036038104348
50,0.00016378937069540646,50,0.2,1.5,1.5,-0.18402519722193866,0.3625,-0.25878993572782116,0.363,0.00037411,0.0,0.0,-0.7752905745950404,-0.7700240911923399,-0.9159426588028151,-0.91271227322579,0.26887573609025966,0.08004035916806314
50,0.00026826957952797245,50,0.2,1.5,1.5,-0.18402519735414669,0.3625,-0.25878993495072344,0.363,0.00037411,0.0,0.0,-0.775228469412074,-0.76995928903715,-0.9159426586648438,-0.9127122732753721,0.2688757377596336,0.08004036045265507
50,0.00043939705607607906,50,0.2,1.5,1.5,-0.18402519894872404,0.3625,-0.2587899347286509,0.363,0.00037411,0.0,0.0,-0.7751267474194006,-0.769853149891251,-0.915942658625112,-0.9127122733538362,0.2688757382016394,0.0800403612873085
50,0.0007196856730011522,50,0.2,1.5,1.5,-0.18402519915002388,0.3625,-0.25878993470008554,0.363,0.00037411,0.0,0.0,-0.7749601376997893,-0.7696793051575568,-0.9159426585004834,-0.9127122733233941,0.26887573776234724,0.08004035949951271
50,0.0011787686347935866,50,0.2,1.5,1.5,-0.18402519840071613,0.3625,-0.2587899361397314,0.363,0.00037411,0.0,0.0,-0.7746872485317575,-0.7693945657584417,-0.9159426588997006,-0.9127122733138187,0.26887573602736453,0.08004036003189094
50,0.0019306977288832496,50,0.2,1.5,1.5,-0.18402519941418327,0.3625,-0.25878993474828343,0.362,0.00037411,0.0,0.0,-0.7742402849086989,-0.7689281928082162,-0.9159426578198072,-0.9127122731060398,0.26887573750004723,0.08004035920079193
50,0.0031622776601683794,50,0.2,1.5,1.5,-0.18402519745141632,0.345,-0.27864618839505206,0.356,0.00037411,0.0,0.0,-0.7735227235418017,-0.7681759376662013,-0.9161688940106045,-0.9123921362558565,0.26887573831171413,0.07755369726421404
50,0.005179474679231213,50,0.2,1.5,1.5,-0.18402519766723402,0.3425,-0.27864618818787723,0.35,0.00037411,0.0,0.0,-0.7723719027770951,-0.7669633982961316,-0.9162311957233817,-0.9123039756620233,0.268875737861517,0.07755369744127841
50,0.008483428982440717,50,0.2,1.5,1.5,-0.18402519702223807,0.34,-0.27864618830694027,0.35,0.00037411,0.0,0.0,-0.7704932499387545,-0.7649824031118893,-0.916257901975211,-0.9122661833606892,0.2688757364095608,0.07755369511417222
50,0.013894954943731374,50,0.2,1.5,1.5,-0.18402519887488172,0.3375,-0.2850096002033449,0.349,0.00037411,0.0,0.0,-0.767425256944273,-0.7617476405279827,-0.9132119795063673,-0.9116134013435877,0.2688757365575146,0.07230688613373035
50,0.022758459260747887,50,0.2,1.5,1.5,-0.18402520071393952,0.3375,-0.29066296606435194,0.343,0.00037411,0.0,0.0,-0.7624444833647143,-0.756501608863303,-0.9102419437633914,-0.9111929689077954,0.22447321558418928,0.04780660982365671
50,0.03727593720314938,50,0.2,1.5,1.5,-0.20270744005427443,0.3275,-0.32372818953987914,0.331,0.00037411,0.0,0.0,-0.7546904203911822,-0.7483501099832328,-0.9093336877055208,-0.9097734003847615,0.12989327452991492,0.012700999366593742
50,0.061054022965853265,50,0.2,1.5,1.5,-0.31138171618360394,0.31,-0.35734079171572974,0.297,0.00037411,0.0,0.0,-0.7424735203164516,-0.7356733867001337,-0.9076352284453685,-0.9098157956005934,0.08661765811310473,-0.018733962282920735
50,0.1,50,0.2,1.5,1.5,-0.37127024388044827,0.265,-0.4015440944145555,0.255,0.00037411,0.0,0.0,-0.7241530334052071,-0.7168497454419376,-0.909852941809492,-0.9101349164040375,-0.005921065198062305,-0.1175115325808126
50,0.11,50,0.2,1.5,1.5,-0.4176387330595526,0.265,-0.47056482502859837,0.24,0.00037411,0.0,0.0,-0.7199272286857668,-0.7125931706667605,-0.9093556610024234,-0.9097017721199223,-0.08655852434483267,-0.18871780203162186
50,0.1568421052631579,50,0.2,1.5,1.5,-0.5496707641835061,0.1975,-0.5689115721669272,0.189,0.00037411,0.0,0.0,-0.7024226193172356,-0.6950191616015272,-0.9092872852323473,-0.9106712971195284,-0.20388095227699976,-0.269924782050304
50,0.2036842105263158,50,0.2,1.5,1.5,-0.5496707636468664,0.18,-0.56853878744577,0.179,0.00037411,0.0,0.0,-0.6866501253010742,-0.6791352568917457,-0.9095661351687707,-0.910421173285715,-0.2079190429578933,-0.2721939095876853
50,0.25052631578947365,50,0.2,1.5,1.5,-0.5496707640300277,0.1675,-0.5707025252228918,0.163,0.00037411,0.0,0.0,-0.6714803464902975,-0.6638882030858738,-0.9061078446581067,-0.9007007146499919,-0.2558326726384391,-0.3124322294232431
50,0.29736842105263156,50,0.2,1.5,1.5,-0.5991054730636411,0.14,-0.6232875790166837,0.142,0.00037411,0.0,0.0,-0.6577140133979671,-0.6508438917910533,-0.900036368876653,-0.8840216239953995,-0.3000286077204555,-0.36773902955594046
50,0.34421052631578947,50,0.2,1.5,1.5,-0.6257094878705118,0.125,-0.6577114437816208,0.133,0.00037411,0.0,0.0,-0.6448253519107204,-0.6387578098208573,-0.8986543368309029,-0.8830508092908411,-0.3234811244653088,-0.3918255541129189
50,0.3910526315789473,50,0.2,1.5,1.5,-0.6340263988542196,0.1075,-0.6967849668584942,0.105,0.00037411,0.0,0.0,-0.6328014044248503,-0.6273591566767366,-0.8866352099463458,-0.8810748113561314,-0.43287662823270334,-0.4674858421440475
50,0.4378947368421052,50,0.2,1.5,1.5,-0.6604099780168554,0.095,-0.7081247944256004,0.088,0.00037411,0.0,0.0,-0.621720348554457,-0.616652300786714,-0.8826948311585682,-0.8798182375742497,-0.4675374861041061,-0.4907604417481134
50,0.48473684210526313,50,0.2,1.5,1.5,-0.6699061045526478,0.075,-0.7136239263783173,0.074,0.00037411,0.0,0.0,-0.6110718253714782,-0.6063168682795381,-0.8791838406061666,-0.877997004374678,-0.4897517322961677,-0.5087599504392338
50,0.531578947368421,50,0.2,1.5,1.5,-0.6873056257143926,0.0675,-0.718730862752483,0.065,0.00037411,0.0,0.0,-0.6009896556248677,-0.5964563268100128,-0.8755888325177261,-0.876152299151576,-0.5073124136683166,-0.5238732075353271
50,0.578421052631579,50,0.2,1.5,1.5,-0.6938205786111129,0.06,-0.7221449095084105,0.061,0.00037411,0.0,0.0,-0.5912364664739066,-0.5868746723305933,-0.8735869393363538,-0.875125360482935,-0.5161843769110012,-0.531847161984636
50,0.6252631578947369,50,0.2,1.5,1.5,-0.7101254866473833,0.0525,-0.7279359606638665,0.058,0.00037411,0.0,0.0,-0.5816869520531924,-0.5774681994390215,-0.8720819099266379,-0.8742779106597757,-0.5223532111374263,-0.5370022426519481
50,0.6721052631578947,50,0.2,1.5,1.5,-0.7155255989054369,0.0475,-0.7317190552921269,0.054,0.00037411,0.0,0.0,-0.5722912718062143,-0.5682011135113259,-0.8709949570344813,-0.8735897260693641,-0.5269543666945082,-0.5407131886944395
50,0.7189473684210526,50,0.2,1.5,1.5,-0.7270834446006564,0.0425,-0.7374452079711562,0.051,0.00037411,0.0,0.0,-0.5630067866222709,-0.5590379141535445,-0.8701441752071204,-0.8730569223953366,-0.5304747389044072,-0.5434590649849262
