seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
10,0.0001,10,0.2,3,1.5,-0.297471418043904,0.4625,-0.24095937943789766,0.475,0.000378711,0.0,0.0,-0.8772494999344269,-0.8854864640084901,-0.9523308710825763,-0.9073030482590395,0.05589808597097433,0.12244248242283093
10,0.00016378937069540646,10,0.2,3,1.5,-0.29747141687612294,0.4625,-0.24095937699045555,0.475,0.000378711,0.0,0.0,-0.8772015693212433,-0.8854382442221644,-0.9523308710966562,-0.9073030483617673,0.055898087266781485,0.1224424829676661
10,0.00026826957952797245,10,0.2,3,1.5,-0.29747141688765893,0.4625,-0.2409593770285124,0.475,0.000378711,0.0,0.0,-0.8771230635501908,-0.8853592649539819,-0.9523308705231652,-0.9073030479543213,0.05589808654773698,0.12244248251858625
10,0.00043939705607607906,10,0.2,3,1.5,-0.29747141748909267,0.4625,-0.24095937828666905,0.474,0.000378711,0.0,0.0,-0.8769944795443066,-0.8852299053802791,-0.9523308707350054,-0.9073030481504502,0.05589808647129818,0.12244248200281531
10,0.0007196856730011522,10,0.2,3,1.5,-0.29747141662571724,0.4625,-0.2409593764715073,0.474,0.000378711,0.0,0.0,-0.8767838727517766,-0.8850180282318303,-0.9523308707560068,-0.907303048293895,0.055898086728852436,0.12244248180070662
10,0.0011787686347935866,10,0.2,3,1.5,-0.2974714165200004,0.4625,-0.24095937624518324,0.474,0.000378711,0.0,0.0,-0.876438921588591,-0.8846709965422312,-0.9523308710388264,-0.9073030483672739,0.055898086297327655,0.1224424824851817
10,0.0019306977288832496,10,0.2,3,1.5,-0.29747143622090483,0.4625,-0.24095941705495752,0.474,0.000378711,0.0,0.0,-0.8758739277733467,-0.8841025948744875,-0.9523308703301361,-0.9073030475373125,0.0558980826061592,0.12244247979493074
10,0.0031622776601683794,10,0.2,3,1.5,-0.29747142808863763,0.4625,-0.24095940031539076,0.474,0.000378711,0.0,0.0,-0.8749485282340136,-0.8831716135786728,-0.9523308697457253,-0.9073030471349778,0.05589808454360528,0.12244248145320279
10,0.005179474679231213,10,0.2,3,1.5,-0.2974714311325533,0.4625,-0.24095940676833857,0.474,0.000378711,0.0,0.0,-0.8734466787046273,-0.8816581144416172,-0.9498468562039345,-0.9053527900265285,0.055395462371855615,0.12244248011212769
10,0.008483428982440717,10,0.2,3,1.5,-0.3099693566443025,0.46,-0.2464560076737457,0.471,0.000378711,0.0,0.0,-0.871020026552781,-0.8792073398980957,-0.9490875931519759,-0.9037875383160695,0.045760251114320534,0.1156063306134881
10,0.013894954943731374,10,0.2,3,1.5,-0.3390867495265545,0.4575,-0.24787230791015516,0.469,0.000378711,0.0,0.0,-0.86713443941073,-0.8752883857140122,-0.9490869641926096,-0.9018802248759867,0.03098048812418945,0.10595526131516265
10,0.022758459260747887,10,0.2,3,1.5,-0.3390867505451107,0.4575,-0.25426946544118656,0.461,0.000378711,0.0,0.0,-0.8608239559303945,-0.8689272388830525,-0.949011076692803,-0.9010902079013364,0.027109099398398173,0.10327598222446534
