,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0004,-0.1650103175803094,-1.0405587942413455,-1.0254943466270219,0.18655127184131198,-1.4514119889988737,-0.5670919430615982,[0.512],5.637477095703916,0.0,0.512,"(0,)",-0.1650103175803094,-1.0405587942413717,0.19172328537147004,-0.9970233399991603,[0.55],5.709073471405638,0.55
1,0.0006551574827816258,-0.1650103174961274,-1.0403733317311494,-1.0254943466376583,0.1865512719329969,-1.4514119890180381,-0.56709194304073,[0.512],5.635577959949325,0.0,0.512,"(0,)",-0.1650103174961274,-1.0403733317311115,0.19172328546785092,-0.9970233400075572,[0.55],5.707033384147866,0.55
2,0.0010730783181118898,-0.16501031661826093,-1.0400695640642938,-1.025494346825234,0.18655127301087301,-1.4514119893219326,-0.5670919428601452,[0.512],5.632467382784465,0.0,0.512,"(0,)",-0.16501031661826093,-1.0400695640642699,0.191723286587198,-0.9970233401648749,[0.55],5.703691943581401,0.55
3,0.0017575882243043163,-0.16501032191163584,-1.0395720237048465,-1.0254943461503958,0.18655126683609183,-1.451411988036719,-0.5670919442629481,[0.512],5.627372545804262,0.0,0.512,"(0,)",-0.16501032191163584,-1.039572023704865,0.19172328009719913,-0.9970233396237229,[0.55],5.698218975815055,0.55
4,0.0028787426920046087,-0.16501032040358096,-1.038757107176779,-1.0254943463889314,0.1865512688046106,-1.4514119885040986,-0.5670919438515307,[0.511],5.619038268955049,0.0,0.511,"(0,)",-0.16501032040358096,-1.038757107178119,0.19172328216509188,-0.9970233398239714,[0.55],5.689254901322246,0.55
5,0.004715074539174346,-0.16501031896443974,-1.0374223602573924,-1.0254943466062354,0.1865512703573369,-1.4514119888773176,-0.567091943506336,[0.509],5.605414605525716,0.0,0.509,"(0,)",-0.16501031896443974,-1.0374223602572206,0.19172328380018586,-0.9970233399983439,[0.5475],5.674605839956606,0.5475
6,0.007722790915532999,-0.16501031896193052,-1.035236185954022,-1.0254943463267336,0.1865512701086037,-1.4514119885072978,-0.5670919433473268,[0.507],5.583192079471139,0.0,0.507,"(0,)",-0.16501031896193052,-1.0352361859537402,0.19172328357246066,-0.997023339747644,[0.545],5.6507660772999415,0.545
7,0.012649110640673518,-0.16501032196756696,-1.0316554645753784,-1.0254943456534442,0.18655126606292094,-1.4514119874140556,-0.5670919439771679,[0.506],5.546924861122857,0.0,0.506,"(0,)",-0.16501032196756696,-1.031655464570464,0.19172327940474135,-0.9970233391750088,[0.54],5.611925447734606,0.54
8,0.02071789871692485,-0.16501032097864124,-1.025790625401095,-1.0254943462034407,0.1865512693321367,-1.4514119881843928,-0.5670919438747586,[0.502],5.487734926882638,0.0,0.502,"(0,)",-0.16501032097864124,-1.0257906254227869,0.1917232825909136,-0.9970233396950943,[0.54],5.548585195601207,0.54
9,0.03393371592976287,-0.16501031656313392,-1.0161846419131493,-1.0254943468454556,0.18655127308821653,-1.4514119893467619,-0.5670919428564182,[0.497],5.391548414737927,0.0,0.497,"(0,)",-0.16501031656313392,-1.0161846419132687,0.19172328666308078,-0.9970233401831797,[0.5375],5.445288905232006,0.5375
10,0.055579819774925494,-0.16501032033183857,-1.0004510603080436,-1.0254943462386557,0.18655126853298198,-1.4514119882035499,-0.5670919438278463,[0.49],5.236356334621277,0.0,0.49,"(0,)",-0.16501032033183857,-1.0004510603087835,0.19172328185861148,-0.9970233396915379,[0.53],5.277359638588162,0.53
11,0.09103383704299155,-0.3403918567626476,-0.9766602757280808,-1.0135973159498581,-0.08755487848942699,-1.3326838528124911,-0.6634448408403308,[0.48],3.7602715826623596,0.0,0.48,"(0,)",-0.3403918567626476,-0.976660275728195,-0.08872851047144825,-0.988802883341448,[0.495],3.81468288529265,0.495
