,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0004,0.18182420501716381,-1.111489585736438,-1.0048869323659533,0.7046522342340966,-1.5876942354032262,-0.4837282561973583,[0.538],8.080450373898913,0.0,0.538,"(0,)",0.18182420501716381,-1.1212005394434064,0.9347767210295927,-0.864479621147097,[0.59],10.210714442782635,0.59
1,0.0006551574827816258,0.1818242055403908,-1.1113033193378787,-1.0048869323270657,0.7046522341875537,-1.5876942375754806,-0.4837282558195226,[0.538],8.078430582070856,0.0,0.538,"(0,)",0.1818242055403908,-1.1210068979665064,0.934776720543714,-0.864479621208664,[0.59],10.208429433845883,0.59
2,0.0010730783181118898,0.18182420452425085,-1.1109982347585547,-1.0048869322505611,0.7046522337339354,-1.5876942364728497,-0.48372825747846,[0.538],8.075122377329315,0.0,0.538,"(0,)",0.18182420452425085,-1.120689733681247,0.9347767204899089,-0.8644796210686444,[0.59],10.20468683133098,0.59
3,0.0017575882243043163,0.18182420485643036,-1.1104985389152526,-1.0048869323208922,0.7046522345780077,-1.587694237957326,-0.48372825579034673,[0.538],8.069703898496968,0.0,0.538,"(0,)",0.18182420485643036,-1.1201702526345294,0.9347767215716257,-0.8644796210691699,[0.59],10.198556855132876,0.59
4,0.0028787426920046087,0.18182419860995389,-1.1096800897562706,-1.0048869318744265,0.704652232958374,-1.5876942365001625,-0.48372825578648365,[0.537],8.060848453333497,0.0,0.537,"(0,)",0.18182419860995389,-1.1193193973866848,0.9347767191169509,-0.8644796208730976,[0.59],10.188516585600151,0.59
5,0.004715074539174346,0.18182419663156313,-1.1083395573400379,-1.0048869318420801,0.7046522318461791,-1.5876942349734195,-0.483728255795261,[0.536],8.04637601770218,0.0,0.536,"(0,)",0.18182419663156313,-1.1179257870557242,0.9347767149549886,-0.8644796213562234,[0.59],10.172071685329188,0.59
6,0.007722790915532999,0.18182419536913613,-1.1061439079400834,-1.0048869320035834,0.7046522308182904,-1.5876942340351143,-0.48372825686378385,[0.536],8.022685916044718,0.0,0.536,"(0,)",0.18182419536913613,-1.1156432018744038,0.9347767171938116,-0.8644796212179177,[0.59],10.145136724293241,0.59
7,0.012649110640673518,0.1818241904414751,-1.1025476675733232,-1.0048869311996904,0.7046522271102693,-1.5876942351526613,-0.4837282612407954,[0.536],7.983884035091421,0.0,0.536,"(0,)",0.1818241904414751,-1.1119045699855779,0.9347767041000714,-0.8644796216039612,[0.585],10.101140237372327,0.585
8,0.02071789871692485,0.09138297041579765,-1.0968100288778078,-1.0046294428983813,0.6440102424797373,-1.5691778903087021,-0.5245415512746316,[0.534],7.6497888420678155,0.0,0.534,"(0,)",0.09138297041579765,-1.105951792263328,0.826331712197221,-0.878970617197075,[0.5825],9.527339980532812,0.5825
9,0.03393371592976287,0.07503168644020819,-1.0877310554532513,-1.0007030927365783,0.6020843615708193,-1.5257299562428046,-0.5631006912950255,[0.543],7.332650297963109,0.0,0.543,"(0,)",0.07503168644020819,-1.0965162727387667,0.7452317607084441,-0.8894813068718048,[0.5875],9.027494001348597,0.5875
