,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.6058222398140551,-0.7436715886910453,-0.8714147819216825,-0.4729932229656441,-0.99830873757042,-0.7506269713312504,[0.236],0.7412938168857952,0.0,0.236,"(0,)",-0.6058222398140551,-0.7436715886909258,-0.5095251326689269,-0.8790788013819939,[0.23],0.5710438346900274,0.23
1,0.576271186440678,-0.6141931419963158,-0.7239264550907433,-0.8671247176597534,-0.48416372847123523,-0.9901612835284086,-0.7521613944023909,[0.208],0.6192619987604743,0.0,0.208,"(0,)",-0.6141931419963158,-0.7239264550907456,-0.5200756033822055,-0.8755479388629007,[0.195],0.465612337039118,0.195
2,0.652542372881356,-0.6214152309035442,-0.704979446164602,-0.8626858669650677,-0.4969924343412333,-0.9831936612767386,-0.747798252345856,[0.19],0.504471080393111,0.0,0.19,"(0,)",-0.6214152309035442,-0.7049794461645891,-0.5307706791386559,-0.8718141539670186,[0.155],0.3822010209564611,0.155
3,0.728813559322034,-0.6279950413964885,-0.6866961035116076,-0.8588073786265443,-0.5072154731141837,-0.9763272851120566,-0.7439059165679041,[0.17],0.40822129928914136,0.0,0.17,"(0,)",-0.6279950413964885,-0.6866961035116177,-0.5393600990463222,-0.8685208479323123,[0.145],0.3116910756984988,0.145
4,0.8050847457627119,-0.6320799871910365,-0.6689293074264738,-0.8552620521379092,-0.5156631533199362,-0.9763972003342213,-0.7395823076991757,[0.14],0.33092823268274185,0.0,0.14,"(0,)",-0.6320799871910365,-0.6689293074264776,-0.5456252750454074,-0.8656350045984444,[0.12],0.25262790103478566,0.12
5,0.8813559322033899,-0.6308961846460948,-0.6515977833406098,-0.8517478514032152,-0.5212195920685189,-0.9699727590820808,-0.7398296675205385,[0.114],0.27424063185522296,0.0,0.114,"(0,)",-0.6308961846460948,-0.6515977833406477,-0.5502555683531414,-0.8628730074217305,[0.085],0.2076420127301815,0.085
6,0.9576271186440678,-0.6349223325321125,-0.63464966442046,-0.8485181836581496,-0.5255060275476665,-0.9624020736976918,-0.7410984806922578,[0.096],0.22893243505791971,0.0,0.096,"(0,)",-0.6349223325321125,-0.6346496644204564,-0.5529926449575482,-0.8600909143839123,[0.08],0.17390916892620983,0.08
7,1.0338983050847457,-0.6348570332931475,-0.618036784116223,-0.845186840428128,-0.5290330530400915,-0.9564138498996415,-0.7400047426067201,[0.082],0.19303652023021978,0.0,0.082,"(0,)",-0.6348570332931475,-0.6180367841162372,-0.5555251078701754,-0.8570286700430043,[0.065],0.1449095606063226,0.065
8,1.1101694915254239,-0.6382416255864249,-0.6017246668446432,-0.8418998416230257,-0.532007064829,-0.949304697539169,-0.7401768597519494,[0.06],0.16742772741154927,0.0,0.06,"(0,)",-0.6382416255864249,-0.6017246668450728,-0.5577886978928964,-0.8539593221662171,[0.05],0.12213710421960544,0.05
9,1.1864406779661016,-0.6414441440728407,-0.5856547948530715,-0.8390418814288312,-0.5340643438047037,-0.9409714789962556,-0.7394609576045696,[0.054],0.14741721864611207,0.0,0.054,"(0,)",-0.6414441440728407,-0.5856547948530499,-0.5590502778085669,-0.8512461651611269,[0.035],0.10432089457597905,0.035
10,1.2627118644067798,-0.6386022790503105,-0.5698093744078362,-0.8358552568786413,-0.5351693563245078,-0.9351323926287721,-0.7400209717605648,[0.048],0.1297789927000393,0.0,0.048,"(0,)",-0.6386022790503105,-0.5698093744078429,-0.5606928693740459,-0.8481141684572862,[0.035],0.09186130145931491,0.035
11,1.3389830508474576,-0.6366195371108879,-0.5542027154821233,-0.832280154149519,-0.5361765427548222,-0.930233950085401,-0.7388317244895681,[0.038],0.11350547187474597,0.0,0.038,"(0,)",-0.6366195371108879,-0.5542027154821195,-0.5620699139917877,-0.8445924082239924,[0.03],0.08071929671294818,0.03
12,1.4152542372881356,-0.6350290637842273,-0.5388071726346119,-0.8292185814691526,-0.5370278864093733,-0.924177712676891,-0.736847716589347,[0.034],0.10119220093577433,0.0,0.034,"(0,)",-0.6350290637842273,-0.5388071726346088,-0.5630233389401831,-0.8415765209024241,[0.025],0.07085023110955121,0.025
13,1.4915254237288136,-0.6371256081858603,-0.5235837922588428,-0.8265614746680794,-0.5376598481677769,-0.9180836736619855,-0.7367876469349264,[0.03],0.09032778744132941,0.0,0.03,"(0,)",-0.6371256081858603,-0.5235837922588393,-0.5638508195279567,-0.8389590630258482,[0.02],0.06426557245116143,0.02
