seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
21,0.0001,21,0.05,0.5,1.5,-410.32875000742047,1.0,-410.3294299268009,1.0,0.01095929,0.0,0.0,-422.5634220632548,-422.4533522830957,-422.4543647587908,-410.3279066879725,-410.328442679865
21,0.0031622776601683794,21,0.05,0.5,1.5,-410.2631305810733,1.0,-410.263145393992,1.0,0.01095929,0.0,0.0,-422.48040277908353,-422.3693320412386,-422.36935083149274,-410.2631122769957,-410.26312391394976
21,0.1,21,0.05,0.5,1.5,-408.2186598332762,0.98,-408.2186599460146,0.996,0.01095929,0.0,0.0,-419.8550908824375,-419.7123655713834,-419.71236661764846,-408.21865969441865,-408.2186597828006
21,0.105,21,0.05,0.5,1.5,-408.11310035645397,0.98,-408.11310138425654,0.996,0.01095929,0.0,0.0,-419.71953870690317,-419.57517904637587,-419.57518003569777,-408.11309909050186,-408.113099896284
21,0.2629166666666667,21,0.05,0.5,1.5,-404.77914352958794,0.86,-404.7791435583438,0.828,0.01095929,0.0,0.0,-415.4383509329756,-415.2423710473004,-415.2423715054763,-404.7791434941472,-404.7791435166999
21,0.42083333333333334,21,0.05,0.5,1.5,-401.44518797779597,0.7,-401.4451880908166,0.596,0.01095929,0.0,0.0,-411.1571629510555,-410.90956291692623,-410.90956335199485,-401.4451878385945,-401.4451879271948
21,0.57875,21,0.05,0.5,1.5,-398.11123234760186,0.5,-398.111232439489,0.392,0.01095929,0.0,0.0,-406.87597504237186,-406.5767548729134,-406.5767552311893,-398.11123223447544,-398.1112323064874
21,0.7366666666666667,21,0.05,0.5,1.5,-394.77727672890313,0.28,-394.77727674540716,0.236,0.01095929,0.0,0.0,-402.5947871435266,-402.24394681930585,-402.2439471325257,-394.7772767085746,-394.77727672151303
21,0.8945833333333334,21,0.05,0.5,1.5,-388.37298330377894,0.13,-388.3729835033863,0.148,0.01095929,0.0,0.0,-398.3135991081618,-397.91113861756185,-397.9111389835817,-388.37298307519063,-388.3729831874144
21,1.0525,21,0.05,0.5,1.5,-381.85373864482085,0.05,-381.8537386949847,0.06,0.01095929,0.01,0.0,-394.03241131112236,-393.5783306919137,-393.578330977242,-381.8537385870722,-381.85373861536067
21,1.2104166666666667,21,0.05,0.5,1.5,-375.3344938800141,0.02,-375.3344939028334,0.028,0.01095929,0.02,0.02,-389.7512232317858,-389.24552246878295,-389.2455228416267,-375.3344938536089,-375.33449386649255
21,1.3683333333333334,21,0.05,0.5,1.5,-368.8152490494673,0.0,-368.8152490766952,0.016,0.01095929,0.04,0.028,-385.4700351859421,-384.91271425820383,-384.9127147267576,-368.81524901783746,-368.81524903318683
21,1.52625,21,0.05,0.5,1.5,-362.2960041783422,0.0,-362.2960042225921,0.004,0.01095929,0.06,0.044,-381.1888475629479,-380.57990648184835,-380.5799067126013,-362.2960041272207,-362.2960041519391
21,1.6841666666666668,21,0.05,0.5,1.5,-355.7767593595272,0.0,-355.7767594035097,0.0,0.01095929,0.06,0.052,-376.90765962160253,-376.2470983762614,-376.24709864006337,-355.77675930933026,-355.77675933354175
21,1.8420833333333335,21,0.05,0.5,1.5,-349.2575146271154,0.0,-349.2575146584953,0.0,0.01095929,0.1,0.064,-372.6264716936287,-371.9142902783139,-371.91429053118105,-349.2575145910118,-349.2575146085341
21,2.0,21,0.05,0.5,1.5,-342.7382698814641,0.0,-342.73826989991227,0.0,0.01095929,0.15,0.076,-368.3424568272147,-367.5767706091213,-367.57677086412315,-342.73826986034095,-342.7382698706446
21,2.05,21,0.05,0.5,1.5,-340.67412906054744,0.0,-340.6741290746063,0.0,0.01095929,0.15,0.076,-366.985003803108,-366.20168561789814,-366.2016858591251,-340.67412904445536,-340.67412905229247
21,2.2399999999999998,21,0.05,0.5,1.5,-332.8303937969001,0.0,-332.8303938374495,0.0,0.01095929,0.17,0.112,-361.81267932065634,-360.962702674031,-360.9627028802844,-332.83039375045286,-332.83039377302396
21,2.4299999999999997,21,0.05,0.5,1.5,-324.98665871256526,0.0,-324.9866587242084,0.0,0.01095929,0.2,0.124,-356.63179595637155,-355.71586008681186,-355.7158602510251,-324.986658699246,-324.9866587057429
21,2.62,21,0.05,0.5,1.5,-317.14292348337824,0.0,-317.1429235019144,0.0,0.01095929,0.25,0.168,-351.44698070797165,-350.4644558192678,-350.4644560278218,-317.14292346227813,-317.14292347246624
21,2.81,21,0.05,0.5,1.5,-309.2991883156223,0.0,-309.299188333742,0.0,0.01095929,0.28,0.196,-346.2523827128348,-345.2024676802649,-345.20246790731545,-309.2991882949598,-309.29918830497843
21,3.0,21,0.05,0.5,1.5,-301.4554531387968,0.0,-301.4554531600184,0.0,0.01095929,0.3,0.22,-341.0331001779609,-339.9130836069044,-339.91308379450265,-301.4554531145111,-301.45545312638257
21,3.1,21,0.05,0.5,1.5,-297.32717150157606,0.0,-297.327171514191,0.0,0.01095929,0.31,0.244,-338.256034150751,-337.09574720173714,-337.0957473944336,-297.3271714871444,-297.32717149414555
21,4.05,21,0.05,0.5,1.5,-258.1084957121243,0.0,-258.1084957258747,0.0,0.01095929,0.43,0.34,-310.0724598361049,-308.3411001305645,-308.34110021769607,-258.1084956964216,-258.1084957041214
21,5.0,21,0.05,0.5,1.5,-218.7905126643597,0.0,-218.79051268067644,0.0,0.01095929,0.48,0.416,-279.413624993238,-277.040477897888,-277.04047794634397,-218.7905126456006,-218.7905126547962
