seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
0,0.0001,0,0.15,0.5,5,651.8572173935535,1.0,625.015001084207,1.0,0.010625997,0.0,0.0,41.584617439217766,437.5888676615376,458.4416636714594,682.8117846153262,664.420822597528
0,0.1,0,0.15,0.5,5,668.9511504134642,0.19,649.4919301472626,0.2,0.010625997,1.0,1.0,510.95090862256984,495.72018325596446,489.39234895082376,704.5894733231048,687.2336513807285
0,0.105,0,0.15,0.5,5,669.3892819385626,0.19,650.2238949310251,0.2,0.010625997,1.0,1.0,511.35248093247094,498.13883958702894,502.72748693295466,705.1934026274223,687.6877137310838
0,0.57875,0,0.15,0.5,5,706.2687544484083,0.19,687.7695799588781,0.2,0.010625997,1.0,1.0,590.0276488960635,593.0947091368372,593.1049620520884,741.0582095897979,725.8479768248166
0,1.0525,0,0.15,0.5,5,725.0172749583256,0.18,708.274449931698,0.188,0.010625997,1.0,1.0,618.412381967819,616.1376655561763,616.1364825939183,757.3251151493981,744.5560477287851
0,1.52625,0,0.15,0.5,5,728.0854724907315,0.18,713.8428671874992,0.172,0.010625997,1.0,1.0,627.334590398215,625.3112485113016,625.2464908691528,761.1573009720977,749.4988829791723
0,2.0,0,0.15,0.5,5,728.3818123961657,0.17,714.0234911070987,0.16,0.010625997,1.0,1.0,629.2635860426344,627.018857808144,626.8562840271384,761.6154850741033,750.1326412929493
0,2.05,0,0.15,0.5,5,728.542662149957,0.17,714.0233857029345,0.156,0.010625997,1.0,1.0,629.3213749211353,627.0514859872837,626.8838449724846,761.6357127455873,750.1354138759119
0,2.2874999999999996,0,0.15,0.5,5,728.7665901909486,0.16,714.0210941448446,0.152,0.010625997,1.0,1.0,629.4419129928831,627.1169292274727,626.9423925351675,761.6590148278465,750.137615121223
0,2.525,0,0.15,0.5,5,728.7665847768395,0.16,714.0178321022619,0.152,0.010625997,1.0,1.0,629.4977099781671,627.1415139372406,626.9632894961783,761.6595986933228,750.1378306137291
0,2.7625,0,0.15,0.5,5,728.7665852675377,0.16,714.0134431265192,0.152,0.010625997,1.0,1.0,629.5301285964705,627.1487711531422,626.96994384893,761.6603375305708,750.1381029193849
0,3.0,0,0.15,0.5,5,728.7665857294066,0.16,714.0057428127411,0.152,0.010625997,1.0,1.0,629.5451545549114,627.1538754036238,626.9742293434064,761.6614501549535,750.138451150565
0,3.1,0,0.15,0.5,5,728.766585900687,0.16,714.0070152339715,0.148,0.010625997,1.0,1.0,629.5451649426151,627.1553515311936,626.9752822441095,761.6618992110457,750.138922304761
0,3.4222222222222225,0,0.15,0.5,5,728.7665863288062,0.16,714.0162718433053,0.148,0.010625997,1.0,1.0,629.5451651115003,627.1576523360764,626.9768989766599,761.6620455169493,750.1408700832981
0,3.7444444444444445,0,0.15,0.5,5,728.7665864223476,0.16,714.0177819708811,0.148,0.010625997,1.0,1.0,629.5451650104334,627.157652451419,626.9771623796001,761.6620993418461,750.142359415098
0,4.066666666666666,0,0.15,0.5,5,728.7665864077078,0.16,714.0188635663658,0.148,0.010625997,1.0,1.0,629.5451646888374,627.1576523438792,626.9771161827807,761.661825938603,750.1427098657704
0,4.388888888888889,0,0.15,0.5,5,728.7665864361078,0.16,714.0200320788309,0.148,0.010625997,1.0,1.0,629.5451650521678,627.1576523838553,626.9771495919165,761.6611351028403,750.1434792218357
0,4.711111111111111,0,0.15,0.5,5,728.7665864452226,0.16,714.0208228541036,0.148,0.010625997,1.0,1.0,629.5451653258315,627.1576527931038,626.9766632087759,761.6600711808086,750.1432953864052
0,5.033333333333333,0,0.15,0.5,5,728.7665864198871,0.16,714.0222491087545,0.148,0.010625997,1.0,1.0,629.5451652597512,627.1576530217163,626.9762110753034,761.6578896146507,750.1431299958534
0,5.355555555555556,0,0.15,0.5,5,728.7665863272186,0.16,714.0227882559655,0.148,0.010625997,1.0,1.0,629.5451649820803,627.1576529219896,626.9757406042735,761.6535605548535,750.142091361547
0,5.677777777777777,0,0.15,0.5,5,728.7665861539441,0.16,714.0234102920439,0.152,0.010625997,1.0,1.0,629.5451656664976,627.1576530490064,626.9750025087933,761.6536840675687,750.1420585643754
0,6.0,0,0.15,0.5,5,728.7665856056261,0.16,714.0226939606683,0.148,0.010625997,1.0,1.0,629.5451657310582,627.157653082357,626.9750823863308,761.6531973302185,750.1424604059903
