seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
30,0.0001,30,0.15,1,1.5,-0.25612325502573025,0.225,-0.34871131834394553,0.2,0.00172429,0.0,0.0,-0.6016215315655346,-0.5957256302272732,-0.9392656463083455,-0.9393148950574061,0.14753590490419843,0.09767909794957419
30,0.00016378937069540646,30,0.15,1,1.5,-0.2561232561051142,0.225,-0.3487113179652657,0.2,0.00172429,0.0,0.0,-0.6015775741376309,-0.5956820479307425,-0.939265647348755,-0.9393148945081611,0.1475359017983737,0.09767909628469208
30,0.00026826957952797245,30,0.15,1,1.5,-0.2561232558048459,0.225,-0.3487113280215517,0.2,0.00172429,0.0,0.0,-0.6015055776109005,-0.5956106657390194,-0.9392656472267586,-0.9393148949245324,0.14753590263699587,0.0976790950849682
30,0.00043939705607607906,30,0.15,1,1.5,-0.25612325543641434,0.225,-0.34871131936521405,0.198,0.00172429,0.0,0.0,-0.6013876543948707,-0.5954937486587469,-0.9392656473208774,-0.9393148947254638,0.14753590251261878,0.0976790963765535
30,0.0007196856730011522,30,0.15,1,1.5,-0.2561232581596164,0.225,-0.34871132306324193,0.198,0.00172429,0.0,0.0,-0.6011945089939087,-0.5953022513410801,-0.9392656470926002,-0.9393148948783143,0.14753590387222892,0.09767909703050368
30,0.0011787686347935866,30,0.15,1,1.5,-0.2561232555811191,0.225,-0.34871131834581365,0.198,0.00172429,0.0,0.0,-0.6008781568707904,-0.594988598766417,-0.9392656466290967,-0.9393148947755134,0.14753590513360382,0.09767909758837094
30,0.0019306977288832496,30,0.15,1,1.5,-0.2561232550538759,0.225,-0.348711322837282,0.198,0.00172429,0.0,0.0,-0.6003600066072671,-0.5944748696747142,-0.9392656471468311,-0.9393148949638387,0.14753590383867418,0.09767909661167055
30,0.0031622776601683794,30,0.15,1,1.5,-0.2561232551161239,0.225,-0.34871131917253495,0.198,0.00172429,0.0,0.0,-0.5995113311103326,-0.5936334357664587,-0.9392656470988239,-0.9393148949868012,0.14753590402473674,0.09767909740401784
30,0.005179474679231213,30,0.15,1,1.5,-0.25612325703862354,0.225,-0.34871132128648086,0.198,0.00172429,0.0,0.0,-0.5981212903771673,-0.5922552560377736,-0.9392656471998179,-0.9393148949823156,0.14753590204284497,0.09767909632338777
30,0.008483428982440717,30,0.15,1,1.5,-0.25612325506828015,0.22,-0.3487113179495149,0.198,0.00172429,0.0,0.0,-0.5958445517150726,-0.5899979443896958,-0.9392656450974083,-0.9393148950279145,0.14753590319575927,0.09767909655472681
30,0.013894954943731374,30,0.15,1,1.5,-0.25612325546711723,0.22,-0.3487113211724653,0.196,0.00172429,0.0,0.0,-0.592137427218786,-0.5863226392552735,-0.9319551186705426,-0.9396885004163855,0.14753590217471504,0.09767909557566257
30,0.022758459260747887,30,0.15,1,1.5,-0.327573351046693,0.195,-0.39075154377853466,0.178,0.00172429,0.0,0.0,-0.5862937159348618,-0.5805705103289535,-0.9472866606075817,-0.93548157527132,0.03981567868184869,0.02893874561869496
30,0.03727593720314938,30,0.15,1,1.5,-0.32757334781944053,0.195,-0.4214575340126302,0.17,0.00172429,0.0,0.0,-0.5773162604552762,-0.571835602207072,-0.943815733023757,-0.9332974621488117,0.014784337038328365,-0.00619115789065464
30,0.061054022965853265,30,0.15,1,1.5,-0.35949406678581874,0.195,-0.47640299094159244,0.136,0.00172429,0.0,0.0,-0.5635449240440504,-0.5585409919194868,-0.9342450426848906,-0.9315432098143686,-0.019744805688735757,-0.07999114396399208
30,0.1,30,0.15,1,1.5,-0.4078171116365766,0.16,-0.564204779336094,0.094,0.00172429,0.0,0.0,-0.543355500707198,-0.5395419589197545,-0.9188592764636502,-0.9393472657925854,-0.14812158046055354,-0.2939551651705082
30,0.11,30,0.15,1,1.5,-0.40781711342232646,0.15,-0.5830429210647939,0.084,0.00172429,0.0,0.0,-0.5386159838326077,-0.5351655783565049,-0.9147655776729289,-0.9399820352211957,-0.15606443677810664,-0.3097971076788816
30,0.1568421052631579,30,0.15,1,1.5,-0.5496778277878188,0.095,-0.6818737466705013,0.048,0.00172429,0.0,0.0,-0.5195889829935009,-0.517279088987987,-0.8949235796861197,-0.9379480311605538,-0.2890654648100592,-0.46482559480936825
30,0.2036842105263158,30,0.15,1,1.5,-0.6388180067785235,0.06,-0.7404618272562423,0.032,0.00172429,0.0,0.0,-0.5038031800627268,-0.502202066996542,-0.8950203034622551,-0.9394697611621207,-0.3630557038158718,-0.5452151292461191
30,0.25052631578947365,30,0.15,1,1.5,-0.6584197878406106,0.06,-0.7787926165832406,0.03,0.00172429,0.0,0.0,-0.49092421875315834,-0.4897384077099999,-0.8955672387565301,-0.9419306641607114,-0.3937545372638244,-0.5777351327448342
30,0.29736842105263156,30,0.15,1,1.5,-0.683723783118344,0.035,-0.7910210208673467,0.024,0.00172429,0.0,0.0,-0.47924929182009374,-0.47843142965032326,-0.8935940006590027,-0.9398054612195373,-0.4706038996343413,-0.6238267284682153
30,0.34421052631578947,30,0.15,1,1.5,-0.7367613549067528,0.005,-0.8091290355688303,0.012,0.00172429,0.0,0.0,-0.46888470956402095,-0.468377521499088,-0.8983813887904956,-0.9311808421098408,-0.6052131356614581,-0.6959070251448036
30,0.3910526315789473,30,0.15,1,1.5,-0.7649067227913224,0.005,-0.8193583923085164,0.008,0.00172429,0.0,0.0,-0.45967870778532477,-0.4594103194901555,-0.9014616047106025,-0.9278600175088182,-0.6370327282824745,-0.7271137785173735
30,0.4378947368421052,30,0.15,1,1.5,-0.8024786502221689,0.005,-0.8417885277009206,0.008,0.00172429,0.0,0.0,-0.45118123845287544,-0.45118158285903964,-0.9086791167571141,-0.9306827291005636,-0.6836355848863238,-0.7633546020812464
30,0.48473684210526313,30,0.15,1,1.5,-0.8024786502043417,0.005,-0.8474880657298742,0.008,0.00172429,0.0,0.0,-0.4431207101534011,-0.44342720547224923,-0.9100565725304799,-0.9308613675072204,-0.6877398239719772,-0.7667191692227806
